作答ID,用户ID,开始时间,结束时间,作答时长,作答渠道,IP,经度,纬度,省份,城市,设备类型,操作系统类型,浏览器类型,屏幕分辨率,Group,GENDER,Edu,AGE,Language,USEOFAI,Synchronicity_1,Synchronicity_2,Synchronicity_3,Synchronicity_4,Synchronicity_5,Synchronicity_6,Synchronicity_7,Synchronicity_8,Synchronicity_9,Synchronicity_10,Synchronicity_11,Synchronicity_12,Relevance_1,Relevance_2,Relevance_3,Relevance_4,Relevance_5,Relevance_6,Relevance_7,Relevance_8,Relevance_9,Persuasiveness_1,Persuasiveness_2,Persuasiveness_3,Persuasiveness_4,Persuasiveness_5,Persuasiveness_6,Persuasiveness_7,Persuasiveness_8,Persuasiveness_9,Excitement_1,Excitement_2,Excitement_3,Excitement_4,Excitement_5,Excitement_6,Excitement_7,Excitement_8,Excitement_9,Arousal_1,Arousal_2,Arousal_3,Arousal_4,Arousal_5,PrivacyConcern_1,PrivacyConcern_2,PrivacyConcern_3,PrivacyConcern_4,PrivacyConcern_5,PrivacyConcern_6,PrivacyConcern_7,PrivacyConcern_8,PrivacyConcern_9,DisadvantagingTarget_1,DisadvantagingTarget_2,DisadvantagingTarget_3,DisadvantagingTarget_4,DisadvantagingTarget_5,DisadvantagingTarget_6,DisadvantagingTarget_7,DisadvantagingTarget_8,DisadvantagingTarget_9,DisadvantagingTarget_10,Precision_1,Precision_2,Precision_3,Precision_4,Precision_5,Precision_6,Precision_7,Precision_8,Precision_9,Autheticity_1,Autheticity_2,Autheticity_3,Trustworthiness_1,Trustworthiness_2,Trustworthiness_3,Trustworthiness_4,Trustworthiness_5,Trustworthiness_6,Trustworthiness_7,Trustworthiness_8,AwarenessGenAI_1,AwarenessGenAI_2,AwarenessGenAI_3,AwarenessGenAI_4,Colonisation_1,Colonisation_2,Colonisation_3,Colonisation_4,Colonisation_5,Colonisation_6,Colonisation_7,Reflexivity_1,Reflexivity_2,Reflexivity_3,Reflexivity_4,Reflexivity_5,Reflexivity_6,Reflexivity_7,Reflexivity_8,Reflexivity_9,Reflexivity_10,Reflexivity_11,Reflexivity_12,Reflexivity_13,Reflexivity_14,Reflexivity_15,Engagement_Info1,Engagement_Info2,Engagement_Info3,Engagement_Emotion1,Engagement_Emotion2,Engagement_Emotion3,Engagement_Behaviour1,Engagement_Behaviour2,Engagement_Behaviour3,Recall_Brand,Recall_Influencer,试次1,ResponseTime1,试次2,ResponseTime2,试次3,ResponseTime3,试次1.1,试次1反应时（毫秒）.1,试次2.1,试次2反应时（毫秒）.1,试次3.1,试次3反应时（毫秒）.1,试次1.2,试次1反应时（毫秒）.2,试次2.2,试次2反应时（毫秒）.2,试次3.2,试次3反应时（毫秒）.2,试次1.3,试次1反应时（毫秒）.3,试次2.3,试次2反应时（毫秒）.3,试次3.3,试次3反应时（毫秒）.3,试次1.4,试次1反应时（毫秒）.4,试次2.4,试次2反应时（毫秒）.4,试次3.4,试次3反应时（毫秒）.4,试次1.5,试次1反应时（毫秒）.5,试次2.5,试次2反应时（毫秒）.5,试次3.5,试次3反应时（毫秒）.5,试次1.6,试次1反应时（毫秒）.6,试次2.6,试次2反应时（毫秒）.6,试次3.6,试次3反应时（毫秒）.6,试次1.7,试次1反应时（毫秒）.7,试次2.7,试次2反应时（毫秒）.7,试次3.7,试次3反应时（毫秒）.7,试次1.8,试次1反应时（毫秒）.8,试次2.8,试次2反应时（毫秒）.8,试次3.8,试次3反应时（毫秒）.8,试次1.9,试次1反应时（毫秒）.9,试次2.9,试次2反应时（毫秒）.9,试次3.9,试次3反应时（毫秒）.9,试次1.10,试次1反应时（毫秒）.10,试次2.10,试次2反应时（毫秒）.10,试次3.10,试次3反应时（毫秒）.10,试次1.11,试次1反应时（毫秒）.11,试次2.11,试次2反应时（毫秒）.11,试次3.11,试次3反应时（毫秒）.11,试次1.12,试次1反应时（毫秒）.12,试次2.12,试次2反应时（毫秒）.12,试次3.12,试次3反应时（毫秒）.12,试次1.13,试次1反应时（毫秒）.13,试次2.13,试次2反应时（毫秒）.13,试次3.13,试次3反应时（毫秒）.13,试次1.14,试次1反应时（毫秒）.14,试次2.14,试次2反应时（毫秒）.14,试次3.14,试次3反应时（毫秒）.14,试次1.15,试次1反应时（毫秒）.15,试次2.15,试次2反应时（毫秒）.15,试次3.15,试次3反应时（毫秒）.15
bo3dR3W6z0n,2MdV93XL,15/01/2025 00:28,15/01/2025 00:38,597,1,39.146.177.114,116.950803,31.453484,安徽省,六安市,COMPUTER,Windows,Chrome,1536px*864px,12_ENTP,2,5,3,1,3,4,4,5,5,5,4,4,5,5,5,4,4,4,4,3,3,4,4,4,4,4,3,3,3,2,4,3,4,2,3,4,4,3,2,2,1,1,1,2,2,3,3,2,2,4,4,4,4,3,4,3,3,4,2,2,2,2,4,4,4,3,4,3,2,3,3,2,3,4,3,3,3,3,2,3,3,3,4,3,4,3,3,3,5,5,4,3,4,4,4,3,4,4,3,4,3,3,3,2,2,4,4,4,3,4,2,3,3,2,2,2,2,4,3,3,3,4,4,12,12, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,15409.3, ,1790.8, ,25503.5, , , , , , , , , , , , , , , , , , , , , , , , 
oGmNK0RZOkW,z7A8z39M,14/01/2025 23:23,14/01/2025 23:35,726,1,116.169.4.97,104.209989,30.569207,四川省,成都市,COMPUTER,Windows,Chrome,1536px*864px,12_ENTP,2,4,2,1,3,4,4,4,3,3,4,4,4,4,5,4,4,4,4,4,3,4,4,4,2,3,2,2,2,3,3,3,3,3,3,4,4,2,3,2,2,2,2,3,2,3,2,3,2,5,5,5,5,4,4,4,5,5,2,2,2,2,4,3,2,3,3,3,3,3,5,3,2,4,4,5,5,3,3,3,3,3,3,4,3,2,2,3,4,4,3,3,3,2,3,4,4,4,4,3,2,3,2,3,2,3,2,2,3,2,2,3,2,3,3,4,3,2,3,3,2,3,2,12,12, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,20965.1, ,21142.7, ,48279.2, , , , , , , , , , , , , , , , , , , , , , , , 
vwkVyArm8rx,J7B66o67,14/01/2025 22:51,14/01/2025 23:11,1168,1,106.58.167.169,102.711455,25.042341,云南省,昆明市,COMPUTER,Windows,Chrome,1920px*1080px,12_ENTP,1,4,4,1,3,4,5,5,4,4,5,4,5,5,4,4,5,4,5,4,3,4,4,3,4,5,4,4,5,5,4,3,4,5,4,5,4,4,5,3,4,5,4,4,4,5,4,4,5,2,1,2,2,1,1,2,1,2,4,5,5,4,2,1,2,5,4,5,2,2,1,2,2,1,1,2,1,4,5,5,4,5,5,4,4,5,4,5,4,5,5,4,2,1,1,2,2,1,1,4,5,5,4,4,3,4,4,3,4,5,4,5,5,4,5,4,4,4,5,4,5,5,4,12,12, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,7651.2, ,3083, ,28490.5, , , , , , , , , , , , , , , , , , , , , , , , 
NPXzJN3x0Kz,xLVKmkVe,14/01/2025 22:28,14/01/2025 22:39,668,1,119.0.51.116,107.9735363,26.5930954,贵州省,黔东南苗族侗族自治州,COMPUTER,Windows,Chrome,1536px*864px,12_ENTP,2,5,2,1,3,4,4,5,5,4,5,4,4,5,4,5,5,4,5,5,4,4,5,5,4,5,4,5,4,5,5,4,5,4,4,3,4,3,4,4,5,4,3,4,4,5,4,4,5,4,4,3,3,4,3,4,4,3,4,4,5,5,1,2,1,4,4,5,2,1,2,1,1,2,2,1,2,4,4,5,4,4,5,5,4,5,5,4,4,5,5,4,2,3,2,3,3,2,2,4,4,5,4,5,4,4,5,4,4,5,5,4,5,5,4,4,5,4,5,4,2,2,3,12,12, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,13623.6, ,5484.4, ,130999.4, , , , , , , , , , , , , , , , , , , , , , , , 
bo30vvDZOBX,aMgmNPnL,14/01/2025 22:17,14/01/2025 22:33,918,1,101.21.227.181,115.4753906,38.8710328,河北省,保定市,COMPUTER,Windows,Chrome,1536px*864px,12_ENTP,2,4,4,1,1,4,5,4,5,4,5,4,5,5,3,4,3,4,3,5,4,4,4,5,4,5,4,4,3,5,5,4,5,4,4,4,5,5,4,5,4,5,4,4,4,4,5,5,4,2,3,2,2,1,3,2,1,2,4,3,5,3,2,2,1,4,4,4,2,2,3,1,2,1,1,3,2,4,4,5,4,5,4,4,5,5,4,4,4,4,5,4,4,4,5,2,2,2,2,4,5,4,5,4,5,4,4,4,5,4,4,5,5,4,4,4,5,4,5,5,5,4,4,12,12, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,36191.3, ,38017.8, ,27385.1, , , , , , , , , , , , , , , , , , , , , , , , 
vwkVlWAJo4N,p7Y9Nlz7,15/01/2025 00:26,15/01/2025 00:43,1070,1,36.248.207.13,118.1226075,24.4829228,福建省,厦门市,COMPUTER,Windows,Chrome,1920px*1080px,13_ISTJ,1,5,3,1,3,3,2,3,4,5,4,5,4,4,2,2,4,4,4,4,4,4,3,1,1,2,5,4,4,3,2,3,3,4,4,1,1,2,2,2,4,1,1,2,4,4,3,2,2,2,2,3,4,2,5,2,2,2,2,2,3,2,2,4,4,4,4,3,2,2,4,1,1,2,2,2,2,4,4,3,4,4,2,3,2,4,4,4,4,5,4,3,2,2,2,1,2,1,2,5,4,4,2,4,2,4,4,4,4,4,4,5,5,4,1,2,1,2,1,2,2,1,1,13,13, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,133350.9, ,59503.9, ,29526.4, , , , , , , , , , , , , , , , , , 
mNVpjvPrGZ4,kMr9yrBe,14/01/2025 23:37,14/01/2025 23:51,792,1,223.104.196.233,115.452906,35.244724,山东省,菏泽市,COMPUTER,Windows,Chrome,1536px*864px,13_ISTJ,2,4,2,1,1,4,4,4,4,4,4,4,5,4,4,5,4,3,4,4,4,4,3,4,4,4,4,4,4,5,5,4,4,4,5,4,5,4,4,4,5,4,4,5,4,4,5,4,4,3,4,4,4,4,3,5,4,4,4,4,4,5,2,2,2,4,4,4,2,2,4,2,3,2,2,3,3,4,4,4,4,5,4,4,4,4,4,5,3,4,4,4,4,2,3,2,4,3,2,4,4,4,5,5,4,4,4,5,4,4,5,5,4,4,4,4,4,4,3,4,3,4,4,13,13, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,42638.1, ,33241.9, ,26990.4, , , , , , , , , , , , , , , , , , 
Xy4r64P3088,4enojgmM,14/01/2025 23:11,14/01/2025 23:24,763,1,113.122.233.71,118.3363903,35.0525874,山东省,临沂市,COMPUTER,Windows,WeChat,2560px*1440px,13_ISTJ,1,4,2,1,3,2,3,2,1,2,3,2,4,4,3,3,4,4,4,5,3,4,3,3,4,3,4,4,3,4,3,4,4,3,3,4,5,4,5,5,4,3,4,3,4,4,4,3,4,4,4,5,4,5,4,4,5,4,4,2,4,4,4,3,3,4,3,3,2,3,4,3,4,2,3,2,2,3,4,4,4,4,3,4,3,4,3,4,5,5,3,3,4,4,5,4,3,3,2,4,4,5,4,4,5,4,5,4,4,4,5,4,4,4,3,4,4,3,4,4,5,4,4,13,13, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,51890.7, ,17949.9, ,29770.8, , , , , , , , , , , , , , , , , , 
lAGJ5jmg1lJ,xebnlyne,14/01/2025 22:53,14/01/2025 23:07,822,1,144.12.173.158,117.04135,36.6623208,山东省,济南市,COMPUTER,Windows,Chrome,1536px*864px,13_ISTJ,2,5,2,1,3,4,3,4,5,4,5,5,4,5,4,4,5,3,2,4,4,4,3,2,3,3,5,4,4,4,3,3,5,4,4,2,3,5,4,2,3,1,2,4,4,5,4,4,5,5,4,5,5,3,2,4,4,3,4,4,5,3,3,4,3,5,4,5,4,5,2,4,5,5,4,4,2,3,5,4,4,5,4,5,3,4,5,4,5,5,5,4,4,2,5,4,3,5,5,4,5,4,2,5,3,4,4,5,5,4,5,2,2,3,4,5,4,4,3,4,5,5,4,13,13, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,45029.6, ,31019.3, ,26537.5, , , , , , , , , , , , , , , , , , 
g90lW33PjBw,BMD5wlk7,14/01/2025 22:48,14/01/2025 23:01,815,1,61.54.184.46,115.0221563,35.7626452,河南省,濮阳市,COMPUTER,Windows,WeChat,1366px*768px,13_ISTJ,2,4,3,1,3,4,5,5,5,4,5,4,5,5,4,5,5,2,2,3,3,2,3,1,1,2,4,5,4,3,3,4,4,5,5,2,2,3,3,2,1,1,1,3,2,2,3,3,4,2,1,1,1,2,2,1,3,3,4,5,5,4,1,1,2,4,4,3,2,1,4,2,1,1,3,2,2,5,5,5,5,5,4,4,3,4,4,5,4,4,5,4,3,2,4,2,2,1,2,4,5,4,3,5,4,4,5,5,5,4,5,5,4,4,2,4,3,2,2,3,2,3,2,13,13, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,27293.8, ,34271.2, ,30677.1, , , , , , , , , , , , , , , , , , 
nZoAJV4kp6a,9LQnpzde,15/01/2025 00:13,15/01/2025 00:31,1069,1,121.33.239.66,113.385762,23.05285,广东省,广州市,COMPUTER,Mac OS X,Safari,1440px*900px,14_INTJ,1,4,2,1,3,5,4,5,3,4,4,5,5,4,4,5,4,5,4,5,3,4,4,3,3,4,4,3,4,5,5,5,4,4,4,4,4,5,4,5,3,3,4,5,4,4,5,5,4,3,4,4,4,3,3,4,5,3,4,5,4,3,3,2,2,5,4,5,1,2,4,3,2,4,3,4,3,5,4,5,4,5,5,4,3,4,5,5,5,5,3,3,4,3,5,4,2,4,4,4,3,2,2,4,3,5,5,3,4,4,3,5,4,4,3,4,5,5,4,5,5,5,3,14,14, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,20929, ,10545, ,30693, , , , , , , , , , , , 
Q1kG2aryWdv,BepbRQX7,14/01/2025 23:08,14/01/2025 23:20,701,1,183.33.66.161,113.148135,22.671586,广东省,江门市,COMPUTER,Windows,Chrome,1920px*1080px,14_INTJ,1,4,4,1,3,4,5,5,4,4,4,5,4,5,5,5,4,5,5,4,5,4,4,4,5,4,4,5,4,4,4,5,5,4,5,5,4,5,5,5,4,4,5,4,4,4,4,5,5,1,1,2,1,2,2,2,1,1,5,5,4,4,1,1,2,4,4,4,2,2,1,1,2,1,2,2,2,5,5,4,4,4,5,4,5,5,4,4,5,5,4,4,1,1,2,2,1,1,1,4,4,5,4,5,5,5,4,4,5,4,5,5,5,4,5,5,4,4,5,5,5,4,5,14,14, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,25044.8, ,9976.5, ,29827.4, , , , , , , , , , , , 
Xy4roGnXxlw,9LQG9JAM,14/01/2025 22:53,14/01/2025 23:10,969,1,27.201.169.124,117.1229911,36.1417614,山东省,泰安市,COMPUTER,Windows,WeChat,1707px*1067px,14_INTJ,1,4,2,1,3,3,4,3,4,3,4,2,4,3,2,3,4,4,2,3,2,4,2,2,3,3,4,3,4,4,3,4,3,4,3,2,3,4,3,2,3,3,2,3,3,4,3,4,3,4,5,5,5,4,4,3,3,4,3,2,2,2,4,5,4,4,2,2,4,3,4,3,4,4,4,5,4,4,3,3,3,3,4,2,2,3,4,4,3,3,2,2,3,4,2,4,2,2,3,4,3,4,3,4,3,4,3,3,4,2,3,4,3,2,3,4,4,2,3,4,2,4,3,14,14, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,5166.8, ,1983.9, ,25097.4, , , , , , , , , , , , 
lAGJzQWjY85,kM1OZqBL,14/01/2025 22:21,14/01/2025 22:53,1954,1,114.96.109.74,117.2772718,31.8710932,安徽省,合肥市,COMPUTER,Windows,Chrome,1920px*1080px,14_INTJ,1,4,6,1,3,4,5,4,4,5,4,5,5,4,5,4,5,4,5,5,4,4,5,4,5,4,5,4,5,4,4,5,4,5,4,5,4,5,5,4,5,4,5,4,5,4,5,4,5,1,2,2,1,2,1,2,1,2,5,4,5,4,2,1,2,5,4,5,1,2,2,1,2,1,1,2,1,5,4,5,4,5,5,4,4,5,4,5,4,5,4,5,1,2,2,1,2,1,2,5,4,4,5,4,5,4,4,5,4,5,5,4,5,4,4,5,4,5,4,5,4,5,4,14,14, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,26203.7, ,5610.1, ,25523.5, , , , , , , , , , , , 
oGmNO5BRy4O,xMoDK2O7,14/01/2025 22:22,14/01/2025 22:37,914,1,112.97.80.26,113.887261,22.578878,广东省,深圳市,COMPUTER,Windows,Chrome,1536px*864px,14_INTJ,2,4,2,1,3,4,4,4,4,4,4,4,4,4,4,4,4,3,3,4,3,3,3,4,4,4,3,3,3,4,4,4,4,4,4,4,3,4,4,3,3,3,3,3,3,3,3,4,4,5,4,4,4,3,4,4,4,4,4,3,4,4,2,2,2,4,4,4,2,2,3,3,2,2,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,3,3,3,3,3,3,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,3,3,3,4,14,14, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,51082, ,35119.5, ,29991.8, , , , , , , , , , , , 
bo3dkmmWrkl,kMrqVDpe,14/01/2025 22:19,14/01/2025 22:36,1011,1,120.235.46.240,113.749078,23.0194246,广东省,东莞市,COMPUTER,Windows,WeChat,1366px*768px,14_INTJ,2,4,2,1,3,4,5,4,4,5,4,5,4,4,5,4,5,4,5,4,4,5,4,5,4,5,4,5,4,4,5,4,5,5,4,4,5,4,4,5,4,5,4,5,4,5,5,4,5,4,4,5,5,4,3,4,5,4,4,3,5,3,5,3,3,4,4,5,2,1,3,2,3,2,2,3,3,5,4,4,4,5,5,4,5,4,5,4,4,5,5,4,4,4,5,4,3,3,2,4,5,4,4,5,4,5,5,4,5,5,4,5,5,4,4,5,4,4,4,5,4,5,4,14,14, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,148360.6, ,110866.1, ,40913.5, , , , , , , , , , , , 
Xy4rDZWWJmB,z7lknYRM,14/01/2025 23:38,15/01/2025 00:36,3468,1,36.26.75.64,120.7678664,30.7404874,浙江省,嘉兴市,COMPUTER,Windows,Chrome,1920px*1080px,15_ESTJ,1,4,2,1,3,4,4,5,4,5,4,4,5,4,5,4,4,4,5,4,5,4,5,5,4,5,4,5,4,5,5,4,5,4,5,4,4,5,4,5,4,5,5,4,5,4,5,5,4,1,2,1,2,2,1,2,1,1,4,4,5,4,1,2,1,4,4,5,1,1,2,1,2,2,1,2,1,5,4,5,4,4,5,4,5,4,5,5,5,5,4,5,4,4,5,2,1,1,2,4,5,4,5,4,5,5,4,5,4,5,4,4,5,4,4,5,5,4,5,4,5,5,4,15,15, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3291.2, ,1956, ,26794.3, , , , , , 
bo3dozE348d,leN6dbme,14/01/2025 23:43,14/01/2025 23:57,857,1,58.62.197.47,113.3893937,23.1565381,广东省,广州市,COMPUTER,Mac OS X,Firefox,1440px*900px,15_ESTJ,1,4,4,1,3,5,4,5,4,4,5,4,5,4,5,4,5,4,5,4,5,5,4,5,4,5,4,5,4,5,5,4,5,4,5,4,5,4,4,5,4,5,4,5,4,5,5,4,5,1,2,1,2,1,1,2,1,2,4,5,4,5,1,2,1,4,5,5,2,1,2,1,2,2,1,2,1,5,4,5,4,5,4,5,4,4,5,4,5,4,5,4,2,2,1,1,2,1,2,4,5,4,5,5,4,5,4,5,4,4,5,4,5,4,5,4,5,4,5,4,5,4,5,15,15, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,14938, ,17138, ,27488, , , , , , 
bo3dymAZajd,J7qvVdpL,14/01/2025 23:18,14/01/2025 23:35,1007,1,120.38.233.201,118.180302,26.638809,福建省,南平市,COMPUTER,Windows,Chrome,1440px*960px,15_ESTJ,1,4,3,1,3,4,5,4,3,5,4,3,4,5,3,5,4,4,5,5,4,5,4,3,2,3,4,5,3,4,3,4,5,4,5,4,3,4,4,5,2,3,2,3,4,3,5,3,2,3,2,2,3,1,2,3,1,2,4,5,4,4,2,1,2,5,3,5,2,1,2,1,1,2,2,1,2,4,4,5,4,5,4,5,5,4,5,4,2,2,1,2,2,1,2,1,1,2,1,3,2,3,4,3,3,2,2,3,3,2,1,2,3,2,4,4,5,3,2,4,3,5,4,15,15, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,33580.1, ,101710.8, ,25511.2, , , , , , 
Q1kGPdDwNYY,8MZnlkGM,14/01/2025 23:11,14/01/2025 23:28,985,1,27.27.207.159,112.1531153,32.0612032,湖北省,襄阳市,COMPUTER,Windows,WeChat,1707px*1067px,15_ESTJ,2,4,2,1,3,5,4,5,4,4,3,5,4,3,3,5,4,3,2,4,2,3,2,3,3,4,4,2,3,4,3,5,4,3,3,4,5,5,3,4,3,2,3,2,3,2,3,4,4,4,5,4,4,5,5,4,5,3,4,4,5,3,2,1,4,5,5,3,4,3,3,2,4,4,3,3,4,4,3,4,4,5,5,4,3,4,5,4,3,4,5,3,2,5,5,4,3,1,2,4,5,3,3,4,5,4,5,4,4,5,4,4,5,5,4,5,5,3,4,3,4,5,4,15,15, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,180570.6, ,21997.8, ,31450, , , , , , 
mNVpKQXrPQn,leNb0pRe,14/01/2025 22:55,14/01/2025 23:07,689,1,112.97.63.207,113.968845,22.631341,广东省,深圳市,COMPUTER,Windows,Chrome,1276px*718px,15_ESTJ,1,5,6,1,3,4,5,4,4,5,5,4,5,4,4,5,4,4,5,4,4,4,5,5,4,5,4,5,5,4,4,4,5,5,4,4,5,5,5,4,5,4,4,4,4,5,5,4,4,2,1,2,2,1,1,1,2,1,4,5,4,4,2,1,2,4,4,4,2,1,2,2,1,1,1,2,1,4,5,5,4,5,4,5,5,5,4,4,3,4,4,3,2,2,2,1,2,1,1,4,5,4,4,4,4,4,5,4,4,4,5,4,5,4,5,4,4,4,5,4,4,5,5,15,15, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,54394.2, ,46306.6, ,30491.3, , , , , , 
nZoA0wg66YA,5M2aOWDe,14/01/2025 22:23,14/01/2025 22:39,964,1,182.150.102.178,104.187467,30.567226,四川省,成都市,COMPUTER,Windows,Chrome,1536px*864px,15_ESTJ,1,4,2,1,3,4,4,5,3,4,4,4,5,5,4,4,5,3,4,5,4,3,3,4,3,4,2,3,2,4,4,3,5,3,3,4,5,4,2,2,1,2,3,2,3,4,3,3,4,5,5,5,5,5,4,5,5,4,3,3,3,2,5,3,4,4,2,3,2,3,5,4,5,5,3,4,3,3,2,2,3,4,3,3,2,2,1,3,4,4,3,3,5,4,4,5,4,3,4,4,4,3,3,5,4,4,4,5,4,3,2,5,4,4,4,5,4,4,4,3,3,4,3,15,15, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,58477.1, ,41797.2, ,56464.6, , , , , , 
Q1kG2db9a5b,aMgzoEQe,14/01/2025 23:07,14/01/2025 23:20,784,1,49.70.45.55,118.2928581,33.9482208,江苏省,宿迁市,COMPUTER,Windows,Chrome,1920px*1080px,16_ENTJ,2,4,4,1,3,4,3,4,5,4,4,5,3,5,2,4,4,4,3,5,4,5,3,3,4,3,4,3,4,5,4,5,4,3,4,4,5,3,4,4,3,3,4,5,4,5,3,4,5,3,4,3,5,4,3,4,5,4,4,3,4,3,2,2,1,3,2,4,3,3,4,2,4,2,2,3,1,5,4,4,4,5,4,3,3,4,5,4,4,3,5,4,4,2,3,4,3,2,3,4,5,4,3,3,4,5,3,3,4,4,3,3,4,5,5,4,4,4,5,4,5,3,4,16,16, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2667.6, ,2532.5, ,42692.1
Q1kGJrBJkzQ,ve8JXpg7,14/01/2025 22:49,14/01/2025 23:00,676,1,39.160.160.210,117.0437211,28.246382,江西省,鹰潭市,COMPUTER,Windows,Chrome,1920px*1080px,16_ENTJ,2,4,4,1,3,4,5,5,4,5,5,4,3,4,5,5,4,4,4,5,5,5,4,4,3,4,4,5,4,4,4,4,5,5,5,3,4,5,5,5,3,3,4,4,4,4,5,5,5,2,2,1,1,2,2,1,1,2,5,5,4,4,1,1,2,4,4,5,2,2,3,1,1,1,2,2,1,4,4,5,5,5,4,4,5,5,5,4,5,5,4,5,2,1,4,1,2,2,2,4,4,4,5,5,4,4,5,4,4,4,5,4,4,5,4,4,5,4,4,5,4,5,4,16,16, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,34975.8, ,36645.9, ,36637.3
Q1kGJ2wbXjq,G7XBEKOe,14/01/2025 22:46,14/01/2025 23:05,1136,1,117.140.191.222,110.2972681,25.2782583,广西壮族自治区,桂林市,COMPUTER,Windows,Chrome,1536px*864px,16_ENTJ,2,4,3,1,3,4,3,4,4,4,3,4,4,4,3,3,4,3,3,4,3,3,4,3,3,3,4,3,4,4,3,3,4,3,4,3,3,4,3,3,4,3,3,3,4,3,3,4,3,2,3,3,4,3,4,4,3,3,4,4,5,4,2,2,2,4,3,4,3,2,2,1,1,1,2,2,3,4,3,3,4,3,4,3,4,3,4,3,4,4,5,4,2,3,2,3,3,2,2,3,4,4,3,3,3,4,4,4,5,3,4,4,5,4,3,4,4,3,4,3,3,4,3,16,16, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,40590.8, ,47419, ,30315.8
