作答ID,用户ID,开始时间,结束时间,作答时长,作答渠道,发布ID,问卷发布名称,IP,经度,纬度,省份,城市,设备类型,操作系统类型,浏览器类型,屏幕分辨率,Synchronicity,Group,Edu,Education,Language,USEOFAI,Synchronicity_1,Synchronicity_2,Synchronicity_3,Synchronicity_4,Synchronicity_5,Synchronicity_6,Synchronicity_7,Synchronicity_8,Synchronicity_9,Synchronicity_10,Synchronicity_11,Synchronicity_12,Relevance_6,Relevance_7,Relevance_8,Relevance_9,Persuasiveness_4,Persuasiveness_5,Persuasiveness_6,Excitement_4,Excitement_5,Excitement_8,Excitement_9,Referencing_1,Referencing_4,Referencing_5,PrivacyConcern_1,PrivacyConcern_2,PrivacyConcern_3,PrivacyConcern_4,PrivacyConcern_5,PrivacyConcern_6,PrivacyConcern_7,PrivacyConcern_8,DisadvantagingTarget_1,DisadvantagingTarget_2,DisadvantagingTarget_3,Autheticity_1,Autheticity_2,Autheticity_3,Trustworthiness_1,Trustworthiness_2,Trustworthiness_3,Trustworthiness_5,Trustworthiness_6,AwarenessGenAI_1,AwarenessGenAI_2,AwarenessGenAI_3,AwarenessGenAI_4,Colonisation_ExcessiveManipulation4,Colonisation_ExcessiveManipulation5,Colonisation_ExcessiveManipulation6,Colonisation_ExcessiveManipulation7,Reflexivity_Potential4,Reflexivity_Potential5,Reflexivity_Potential6,Reflexivity_Potential9,Engagement_Info1,Engagement_Info2,Engagement_Info3,Engagement_Emotion1,Engagement_Emotion2,Engagement_Emotion3,Engagement_Behaviour1,Engagement_Behaviour2,Engagement_Behaviour3,Recall_Brand,Recall_Influencer,ResponseTime1,ResponseTime2,ResponseTime3,PRIVACYCONCERN,DISADVANTAGING,AUTHETICITY,COLONISATION,REFLXIVITY,AI_REALISATION,PERCERIVED_SYNCHRONICITY,CAT_PRIVACYCONCERN,CAT_DISADVANTAGING,CAT_AUTHENTICITY,CAT_COLONISATION,CAT_REFLEXIVITY,CAT_AI_REALISATION,CAT_AUTHETICITY
mNVVVmd3n8n,oe4p4Jqe,2025-01-08 08:22:15,2025-01-08 08:31:57,582,1,FBzu6b,消费者性格与AI视频广告研究mismatch真人组（Study3）,183.196.195.210,119.5919001,39.9412726,河北省,秦皇岛市,COMPUTER,Windows,Chrome,1920px*1080px,0,10,3,6,1,3,4,5,4,4,3,4,4,5,4,4,5,4,4,3,3,3,4,4,3,4,5,4,3,4,4,3,4,3,3,3,4,4,3,4,2,1,2,4,4,3,4,3,4,5,4,4,4,3,4,4,3,3,4,3,4,3,4,4,5,4,4,4,3,3,4,4,7,10,5783.2,19730.4,25994.6,3.55555555555556,2.14285714285714,3.875,3.5,3.42857142857143,3.75,4.16666666666667,1,0,0,1,0,0,1
nZoAJzW2V6a,o7jQPGdM,2025-01-08 00:15:41,2025-01-08 00:25:40,599,1,FBzu6b,消费者性格与AI视频广告研究mismatch真人组（Study3）,111.29.170.174,110.3538390,20.0425660,海南省,海口市,COMPUTER,Windows,Chrome,1536px*864px,0,10,4,5,1,3,4,5,5,4,4,5,4,5,5,3,5,4,4,4,5,4,5,4,5,5,4,4,5,4,4,3,4,4,5,3,4,2,5,3,2,2,1,4,5,4,5,4,4,4,5,4,4,5,4,4,2,1,2,4,5,4,5,5,4,4,5,4,5,4,4,5,7,10,94387.5,25753.2,29144.6,3.77777777777778,1.71428571428571,4.375,2.25,4.57142857142857,4.25,4.41666666666667,1,0,1,0,1,1,1
WQ2XPRR6vJG,kMr9yrBe,2025-01-07 23:52:25,2025-01-08 00:04:28,723,1,FBzu6b,消费者性格与AI视频广告研究mismatch真人组（Study3）,223.104.196.233,115.4529060,35.2447240,山东省,菏泽市,COMPUTER,Windows,Chrome,1536px*864px,0,10,4,2,1,1,4,4,4,3,4,4,4,5,5,5,4,4,4,4,5,5,4,5,5,4,4,4,4,4,3,4,4,4,4,4,5,3,4,5,2,2,1,4,4,4,4,4,4,5,4,2,2,2,3,4,3,4,4,4,5,4,4,4,4,5,4,3,5,4,4,3,7,10,28943.3,46133.2,30101,4.22222222222222,1.85714285714286,4.125,3.75,4.28571428571429,2.25,4.16666666666667,1,0,1,1,1,0,1
Q1kGDp0x3zW,leNwJjRM,2025-01-07 23:30:47,2025-01-07 23:43:51,784,1,FBzu6b,消费者性格与AI视频广告研究mismatch真人组（Study3）,203.148.86.214,119.2964700,26.0742100,福建省,福州市,COMPUTER,Windows,Chrome,1536px*864px,0,10,4,4,1,3,4,5,5,5,4,5,5,4,5,3,5,4,4,5,5,4,5,5,4,5,5,4,4,4,4,4,2,1,1,2,2,3,1,1,1,2,2,4,4,5,4,4,4,5,4,5,4,4,4,1,1,2,2,3,5,4,3,4,4,5,5,4,4,4,4,5,7,10,29972.1,35613.7,35054.2,1.66666666666667,1.57142857142857,4.25,1.5,3.71428571428571,4.25,4.5,0,0,1,0,0,1,1
Xy4rWk9QymB,VMJZB91M,2025-01-07 23:15:34,2025-01-07 23:28:15,761,1,FBzu6b,消费者性格与AI视频广告研究mismatch真人组（Study3）,183.219.65.234,114.3966440,27.7987330,江西省,宜春市,COMPUTER,Windows,Chrome,1536px*864px,0,10,4,3,1,3,4,4,3,3,4,4,5,5,4,4,5,5,4,4,3,4,4,4,5,4,3,4,5,4,4,3,2,1,1,2,2,2,1,1,2,2,3,3,4,4,4,4,5,4,4,3,3,2,3,1,1,2,2,4,4,4,4,4,5,4,4,5,5,4,4,5,7,10,56339.4,20403.7,85200.1,1.55555555555556,2,4,1.5,4.14285714285714,2.75,4.16666666666667,0,0,0,0,1,0,1
bo3d5mW0yxy,J7qvVdpL,2025-01-07 22:59:43,2025-01-07 23:13:31,828,1,FBzu6b,消费者性格与AI视频广告研究mismatch真人组（Study3）,120.38.233.201,118.1803020,26.6388090,福建省,南平市,COMPUTER,Windows,Chrome,1440px*960px,0,10,4,3,1,3,2,3,1,2,2,2,1,3,3,2,2,1,2,2,2,3,3,2,2,3,3,2,2,3,2,2,2,3,2,2,3,2,1,1,2,2,1,3,3,2,4,5,4,4,5,2,3,3,2,1,2,1,2,2,5,4,2,2,3,3,2,2,3,1,3,2,7,10,27840.6,41447,41655.8,2,1.71428571428571,3.75,1.5,3.42857142857143,2.5,2,0,0,0,0,0,0,0
Q1kGx3pgNzW,xLVKmkVe,2025-01-07 22:39:59,2025-01-07 22:50:11,612,1,FBzu6b,消费者性格与AI视频广告研究mismatch真人组（Study3）,119.0.51.116,107.9735363,26.5930954,贵州省,黔东南苗族侗族自治州,COMPUTER,Windows,Chrome,1536px*864px,0,10,5,2,1,3,4,3,3,4,4,3,4,4,3,4,3,4,4,3,3,4,4,4,5,3,3,3,3,4,4,5,4,5,5,4,5,5,4,4,2,2,3,4,4,5,4,5,5,4,5,4,5,4,5,2,2,1,2,4,5,4,5,4,5,5,4,4,5,1,1,2,7,10,9470.3,7228.4,25719.2,4.55555555555556,2.14285714285714,4.5,1.75,4.28571428571429,4.5,3.58333333333333,1,0,1,0,1,1,1
oGmN1GYNl06,xMoDy467,2025-01-07 22:31:41,2025-01-07 22:42:56,675,1,FBzu6b,消费者性格与AI视频广告研究mismatch真人组（Study3）,117.188.218.38,104.4683390,25.7003360,贵州省,六盘水市,COMPUTER,Windows,Chrome,1536px*864px,0,10,4,2,1,3,4,4,4,3,4,4,4,5,3,5,4,5,2,4,4,4,4,4,4,3,2,3,3,2,3,2,3,4,4,4,5,4,3,4,3,3,4,4,4,3,4,4,4,4,4,3,4,4,2,4,3,3,4,3,4,3,4,4,4,4,4,4,4,5,5,4,7,10,34374.8,46380.4,32778.9,3.88888888888889,3.42857142857143,3.875,3.5,3.71428571428571,3.25,4.08333333333333,1,1,0,1,0,0,1
NPXzWDZaWgJ,leNyPkbL,2025-01-07 23:21:41,2025-01-07 23:33:39,718,1,B3yiI3,消费者性格与AI视频广告研究真人组（主研究-Study3）,218.0.193.30,120.2188504,30.2398990,浙江省,杭州市,COMPUTER,Windows,Chrome,1366px*768px,1,11,4,3,1,3,4,4,3,4,5,4,4,5,4,4,3,4,4,5,4,4,4,4,5,3,2,2,1,4,4,3,4,5,5,5,4,4,5,5,3,4,3,4,3,3,3,4,3,2,3,3,4,4,3,4,2,3,3,2,4,3,4,3,4,4,5,4,4,3,4,3,11,11,57377.6,33425.9,26587.6,4.66666666666667,3,3.125,3,3.14285714285714,3.5,4,1,1,0,1,0,0,0
nZoAxGDJj1a,z7Az3JoL,2025-01-07 22:21:10,2025-01-07 23:20:58,3588,1,B3yiI3,消费者性格与AI视频广告研究真人组（主研究-Study3）,182.44.38.66,115.4691250,35.2401634,山东省,菏泽市,COMPUTER,Windows,Chrome,1920px*1080px,1,11,4,3,1,3,4,5,5,4,4,5,4,5,4,5,4,5,5,4,5,4,5,4,4,5,5,5,4,5,5,4,2,1,1,2,1,2,1,2,1,2,1,5,4,5,4,5,5,4,5,4,5,5,4,2,1,2,1,5,4,5,5,4,5,4,5,4,5,4,5,4,11,11,11794.4,4712.1,24335,1.44444444444444,1.57142857142857,4.625,1.5,4.57142857142857,4.5,4.5,0,0,1,0,1,1,1
bo3dJwEGadk,WMR8B2PL,2025-01-07 22:53:04,2025-01-07 23:05:55,771,1,B3yiI3,消费者性格与AI视频广告研究真人组（主研究-Study3）,183.3.162.3,112.7138670,22.7271800,广东省,佛山市,COMPUTER,Windows,Chrome,1920px*1080px,1,11,4,3,1,3,4,5,5,4,4,5,4,5,5,4,4,4,5,5,4,5,5,4,4,5,5,4,4,5,5,4,1,2,2,1,1,1,2,2,2,2,1,5,4,4,5,4,5,4,5,5,4,4,5,1,1,2,2,5,5,4,5,4,4,5,5,5,4,4,4,5,11,11,19039.3,14473.9,26629.2,1.44444444444444,1.42857142857143,4.5,1.5,4.57142857142857,4.5,4.41666666666667,0,0,1,0,1,1,1
oGmNVPlrkN6,9LQzw4ve,2025-01-07 22:41:28,2025-01-07 22:57:26,958,1,B3yiI3,消费者性格与AI视频广告研究真人组（主研究-Study3）,58.20.74.170,113.0240446,28.1978805,湖南省,长沙市,COMPUTER,Windows,WeChat,1536px*864px,1,11,4,3,1,3,4,3,4,3,4,4,4,4,5,3,3,4,3,2,2,2,2,3,2,2,2,2,2,2,4,3,3,4,5,5,5,4,5,4,3,4,4,2,1,1,3,3,2,1,4,5,5,5,5,2,2,2,1,4,4,4,4,3,2,2,2,3,3,1,1,1,11,11,26827.8,15050.5,49123.2,4.33333333333333,3.85714285714286,2.125,1.75,4.28571428571429,5,3.75,1,1,0,0,1,1,0
vwkVnEYa4lV,G7XlwNw7,2025-01-07 22:22:25,2025-01-07 22:37:57,932,1,B3yiI3,消费者性格与AI视频广告研究真人组（主研究-Study3）,223.104.122.42,114.3298080,30.5769210,湖北省,武汉市,COMPUTER,Windows,Chrome,1366px*768px,1,11,4,2,1,3,4,5,4,4,3,5,4,5,4,5,5,4,3,5,4,5,5,4,5,5,5,3,4,5,4,4,3,2,3,2,1,2,2,3,2,1,1,4,5,4,4,5,3,4,5,4,5,3,4,2,1,3,2,3,5,4,5,4,5,4,4,5,5,5,4,5,11,11,91680.8,72413.9,35351.2,2.22222222222222,1.57142857142857,4.25,2,4,4,4.33333333333333,0,0,1,0,1,1,1
nZowrvY3KA0,QL00d2qL,2025-01-05 21:41:13,2025-01-05 21:57:28,975,1,B3yiI3,消费者性格与AI视频广告研究真人组（主研究-Study3）,112.20.67.231,118.7377507,32.0992691,江苏省,南京市,COMPUTER,Windows,Chrome,1600px*900px,1,11,5,4,1,3,5,5,4,4,5,4,5,4,4,4,5,5,4,4,5,4,4,4,5,4,5,4,4,5,4,5,2,1,1,1,2,2,1,1,2,1,1,4,5,5,4,5,5,5,4,1,1,2,2,1,1,1,2,4,5,4,5,4,5,5,4,4,5,4,5,5,11,11,2684.5,2719.2,27113.7,1.44444444444444,1.42857142857143,4.625,1.25,4.28571428571429,1.5,4.5,0,0,1,0,1,0,1
WQ2A6YwYZpr,leNgNWWM,2025-01-08 17:25:14,2025-01-08 17:36:17,663,1,iyAfQn,消费者性格与AI视频广告研究真人组（Part2-Study3）,117.162.103.164,117.0437211,28.2463820,江西省,鹰潭市,COMPUTER,Windows,WeChat,1920px*1080px,1,11,4,2,1,2,4,4,4,4,5,3,4,4,4,4,4,4,2,2,1,2,2,2,4,2,2,2,2,2,3,3,4,4,4,4,5,4,4,4,4,4,4,4,3,3,4,4,4,4,4,4,2,4,4,5,4,4,4,5,5,4,4,2,3,2,2,2,4,2,1,1,11,11,6098.7,7639.1,28811.3,4.11111111111111,4,3.75,4.25,4.28571428571429,3.5,4,1,1,0,1,1,0,0
nZoqG83nQGa,4enWz0NM,2025-01-08 16:39:14,2025-01-08 17:06:11,1617,1,iyAfQn,消费者性格与AI视频广告研究真人组（Part2-Study3）,180.152.6.3,113.7281860,34.7722010,河南省,郑州市,COMPUTER,Windows,Chrome,3072px*1728px,1,11,5,3,1,3,4,5,5,4,3,4,5,3,4,3,5,5,4,4,5,4,5,5,3,4,4,3,4,3,3,4,2,1,2,2,1,3,2,1,2,3,1,5,4,4,4,4,5,3,3,5,5,4,4,1,1,3,2,3,4,5,3,4,4,5,5,3,4,4,5,4,11,11,75125.9,56609.7,32227.2,1.66666666666667,2.14285714285714,4,1.75,3.85714285714286,4.5,4.16666666666667,0,0,1,0,1,1,1
mNV8qWkY0qp,27axW4wM,2025-01-08 16:29:38,2025-01-08 16:55:16,1538,1,iyAfQn,消费者性格与AI视频广告研究真人组（Part2-Study3）,117.15.190.42,117.2157365,39.1304422,天津市,市辖区,COMPUTER,Windows,Chrome,1366px*768px,1,11,5,4,1,3,4,5,4,4,5,5,4,5,4,4,5,5,4,5,4,5,5,4,4,5,4,4,5,4,5,4,1,2,1,2,1,1,2,1,1,2,2,4,5,4,4,5,4,4,5,4,5,2,1,1,2,1,2,5,4,5,4,4,5,4,4,4,5,5,5,4,11,11,164273.7,154206,30726.2,1.44444444444444,1.42857142857143,4.375,1.5,4.42857142857143,3,4.5,0,0,1,0,1,0,1
oGmg0XG3WR6,2Md1WR67,2025-01-08 16:31:58,2025-01-08 16:48:26,988,1,iyAfQn,消费者性格与AI视频广告研究真人组（Part2-Study3）,116.1.50.41,110.2972681,25.2782583,广西壮族自治区,桂林市,COMPUTER,Windows,Chrome,1920px*1080px,1,11,4,4,1,3,5,4,5,5,3,3,5,4,4,5,5,4,4,4,4,5,5,5,4,4,4,4,4,4,5,3,5,4,4,5,4,4,5,5,3,4,3,4,4,5,4,4,3,3,4,3,3,3,3,4,3,3,2,4,3,4,3,3,4,5,4,4,3,3,4,3,11,11,40128.2,87493.4,34382,4.44444444444444,3.71428571428571,3.875,3,3.71428571428571,3,4.33333333333333,1,1,1,1,0,0,1
oGmgyoGByB0,5Lwno8z7,2025-01-08 16:26:34,2025-01-08 16:38:29,715,1,iyAfQn,消费者性格与AI视频广告研究真人组（Part2-Study3）,27.218.67.78,118.3363903,35.0525874,山东省,临沂市,COMPUTER,Windows,Chrome,1600px*900px,1,11,2,4,1,2,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,3,3,4,3,3,3,3,3,4,11,11,38780.7,12668.8,25828.4,4,2.71428571428571,4,4,3.85714285714286,4,3.83333333333333,1,1,1,1,1,1,1
WQ221agnVG0,xeb3n5JM,2025-01-08 09:05:36,2025-01-08 09:18:32,776,1,FBzu6b,消费者性格与AI视频广告研究mismatch真人组（Study3）,171.106.23.169,111.3006395,23.4947433,广西壮族自治区,梧州市,COMPUTER,Windows,Chrome,1920px*1080px,0,11,4,4,1,3,4,5,4,2,4,2,3,4,5,3,4,4,1,2,1,4,4,2,1,3,4,3,4,4,4,4,4,4,5,5,5,4,4,5,3,3,4,4,4,3,4,2,3,1,2,4,3,5,5,4,3,4,2,4,4,1,4,4,3,4,2,1,3,4,4,3,6,11,10900.4,10621.8,32239.1,4.44444444444444,4,2.875,3.25,3.14285714285714,4.25,3.66666666666667,1,1,0,1,0,1,0
oGmmQP8G8VB,WLGv3gw7,2025-01-08 08:26:30,2025-01-08 08:40:34,844,1,FBzu6b,消费者性格与AI视频广告研究mismatch真人组（Study3）,223.97.197.135,119.1683632,36.6947521,山东省,潍坊市,COMPUTER,Windows,Chrome,1440px*900px,0,11,5,4,1,3,5,5,4,4,4,5,5,4,4,5,4,5,2,2,3,3,4,3,4,5,4,3,4,4,4,4,4,4,5,5,3,4,4,4,2,3,2,4,4,5,5,4,4,4,5,4,4,5,5,2,2,3,4,3,5,4,5,4,3,4,3,3,4,3,4,3,6,11,25639.7,27012.4,28778.2,4,2.14285714285714,4.375,2.75,4.42857142857143,4.5,4.5,1,0,1,1,1,1,1
oGmmwBADOlR,WMR8GE9L,2025-01-08 07:50:12,2025-01-08 08:04:09,837,1,FBzu6b,消费者性格与AI视频广告研究mismatch真人组（Study3）,39.144.124.182,120.1898550,30.1426630,浙江省,杭州市,COMPUTER,Windows,Chrome,1536px*864px,0,11,4,4,1,3,4,5,4,4,4,3,4,5,5,4,5,5,4,3,4,4,4,4,4,5,5,4,5,5,5,5,5,4,5,5,5,3,4,4,1,1,2,4,4,5,5,4,4,4,4,5,3,3,3,2,3,3,4,3,4,4,4,5,4,5,4,4,5,4,5,4,6,11,53050.6,71993.8,28082.1,4.33333333333333,1.57142857142857,4.25,3,4,3.5,4.33333333333333,1,0,1,1,1,0,1
NPXX4AxNwAR,WMRWpR87,2025-01-08 06:57:47,2025-01-08 07:15:26,1059,1,FBzu6b,消费者性格与AI视频广告研究mismatch真人组（Study3）,112.20.67.231,118.7377507,32.0992691,江苏省,南京市,COMPUTER,Windows,Chrome,1600px*900px,0,11,4,5,1,3,4,5,5,4,5,4,4,5,4,4,5,4,5,4,4,5,5,5,4,5,4,4,4,5,5,4,2,1,1,1,2,2,1,2,1,2,1,5,5,4,4,5,5,4,5,1,1,2,2,1,1,2,1,4,5,4,5,4,5,5,4,4,5,4,4,5,6,11,45183.5,61978.3,53243.8,1.44444444444444,1.28571428571429,4.625,1.25,4.57142857142857,1.5,4.41666666666667,0,0,1,0,1,0,1
lAGJaPqGpz4,DMxovEQe,2025-01-07 23:35:25,2025-01-07 23:49:20,835,1,FBzu6b,消费者性格与AI视频广告研究mismatch真人组（Study3）,175.16.11.252,126.5683473,43.8546728,吉林省,吉林市,COMPUTER,Windows,Firefox,1280px*800px,0,11,4,6,1,3,4,5,5,4,5,5,5,4,5,4,4,4,5,4,5,5,5,5,4,4,4,4,4,4,5,4,5,4,3,4,4,3,4,4,2,1,2,4,4,5,4,4,4,4,3,5,4,5,5,5,2,2,2,4,5,4,4,4,5,5,4,5,4,5,5,4,6,11,97963,100684,27692,3.88888888888889,1.57142857142857,4,2.75,4.28571428571429,4.75,4.5,1,0,1,1,1,1,1
WQ2XpNaaAAr,kM1ZD6y7,2025-01-07 23:10:35,2025-01-07 23:30:16,1181,1,FBzu6b,消费者性格与AI视频广告研究mismatch真人组（Study3）,183.210.4.96,120.1632911,33.3650628,江苏省,盐城市,COMPUTER,Windows,Chrome,1280px*720px,0,11,5,3,1,3,5,4,5,3,3,3,4,3,4,3,4,4,2,1,2,3,3,3,2,3,2,3,3,5,5,4,4,2,4,4,4,2,2,3,2,2,1,3,3,3,3,4,4,3,2,4,4,4,4,3,2,2,2,4,5,3,4,3,4,3,3,3,2,2,3,2,6,11,73649,96671.4,52186,3.22222222222222,1.71428571428571,3.125,2.25,3.71428571428571,4,3.75,0,0,0,0,0,1,0
oGmNj0vZ1R0,ve8J5qW7,2025-01-07 22:40:19,2025-01-07 23:13:20,1981,1,FBzu6b,消费者性格与AI视频广告研究mismatch真人组（Study3）,121.25.214.234,114.9000407,40.8160914,河北省,张家口市,COMPUTER,Windows,WeChat,1536px*864px,0,11,4,2,1,2,4,4,4,4,4,4,5,4,5,5,5,5,5,4,4,4,4,4,4,5,5,4,5,4,5,4,3,4,4,4,4,4,5,5,2,1,1,4,4,4,4,4,4,4,4,4,4,3,3,4,3,3,2,3,3,3,4,4,5,4,4,5,5,5,5,5,6,11,178468.7,213411.7,65336,4,2,4,3,3.85714285714286,3.5,4.41666666666667,1,0,1,1,1,0,1
nZoA61znp4n,kMrqVDpe,2025-01-07 22:38:10,2025-01-07 22:52:09,839,1,FBzu6b,消费者性格与AI视频广告研究mismatch真人组（Study3）,120.235.46.240,113.7490780,23.0194246,广东省,东莞市,COMPUTER,Windows,WeChat,1366px*768px,0,11,4,2,1,3,4,5,4,5,4,4,5,5,4,5,4,5,4,4,5,4,5,4,5,4,5,5,4,4,5,4,4,3,4,5,4,3,4,5,2,1,2,4,4,5,4,5,5,5,4,4,5,5,4,3,2,2,3,4,5,5,5,4,5,4,5,4,5,5,4,5,6,11,82667.5,88833.1,31294.4,4,2,4.5,2.5,4.85714285714286,4.5,4.5,1,0,1,0,1,1,1
oGmNK0RZOkW,z7A8z39M,2025-01-07 23:23:28,2025-01-07 23:35:34,726,1,B3yiI3,消费者性格与AI视频广告研究真人组（主研究-Study3）,116.169.4.97,104.2099890,30.5692070,四川省,成都市,COMPUTER,Windows,Chrome,1536px*864px,1,12,4,2,1,3,4,4,4,3,3,4,4,4,4,5,4,4,4,4,2,3,3,3,3,3,2,2,3,2,3,2,5,5,5,5,4,4,4,5,4,4,4,3,3,3,3,3,3,3,2,4,4,3,3,4,4,4,4,2,3,2,2,3,4,3,2,3,3,2,3,2,12,12,20965.1,21142.7,48279.2,4.66666666666667,3.57142857142857,2.875,4,2.28571428571429,3.5,3.91666666666667,1,1,0,1,0,0,0
vwkVyArm8rx,J7B66o67,2025-01-07 22:51:56,2025-01-07 23:11:24,1168,1,B3yiI3,消费者性格与AI视频广告研究真人组（主研究-Study3）,106.58.167.169,102.7114550,25.0423410,云南省,昆明市,COMPUTER,Windows,Chrome,1920px*1080px,1,12,4,4,1,3,4,5,5,4,4,5,4,5,5,4,4,5,4,3,4,5,5,4,3,5,3,4,4,4,4,5,2,1,2,2,1,1,2,1,2,1,1,4,5,5,4,5,5,4,5,4,5,5,4,2,2,1,1,4,4,3,3,5,4,4,4,5,4,5,5,4,12,12,7651.2,3083,28490.5,1.55555555555556,1.57142857142857,4.625,1.5,4,4.5,4.5,0,0,1,0,1,1,1
NPXzJN3x0Kz,xLVKmkVe,2025-01-07 22:28:17,2025-01-07 22:39:25,668,1,B3yiI3,消费者性格与AI视频广告研究真人组（主研究-Study3）,119.0.51.116,107.9735363,26.5930954,贵州省,黔东南苗族侗族自治州,COMPUTER,Windows,Chrome,1536px*864px,1,12,5,2,1,3,4,4,5,5,4,5,4,4,5,4,5,5,5,5,4,5,5,5,4,4,4,3,4,4,4,5,4,4,3,3,4,3,4,4,2,2,1,4,4,5,4,4,5,4,5,4,5,5,4,3,3,2,2,4,5,4,4,4,4,5,4,5,4,2,2,3,12,12,13623.6,5484.4,130999.4,3.55555555555556,1.42857142857143,4.375,2.5,4.57142857142857,4.5,4.5,1,0,1,0,1,1,1
bo30vvDZOBX,aMgmNPnL,2025-01-07 22:17:48,2025-01-07 22:33:06,918,1,B3yiI3,消费者性格与AI视频广告研究真人组（主研究-Study3）,101.21.227.181,115.4753906,38.8710328,河北省,保定市,COMPUTER,Windows,Chrome,1536px*864px,1,12,4,4,1,1,4,5,4,5,4,5,4,5,5,3,4,3,4,5,4,5,5,5,4,4,5,4,4,4,5,4,2,3,2,2,1,3,2,1,2,3,1,4,4,5,4,5,4,5,5,4,4,5,4,2,2,2,2,5,4,5,4,4,4,5,4,5,5,5,4,4,12,12,36191.3,38017.8,27385.1,2,2,4.5,2,4.28571428571429,4.25,4.25,0,0,1,0,1,1,1
nZoqkVQ9qAm,p7YrrZzL,2025-01-08 19:10:33,2025-01-08 19:35:36,1503,1,iyAfQn,消费者性格与AI视频广告研究真人组（Part2-Study3）,39.186.180.117,119.6481889,29.0773221,浙江省,金华市,COMPUTER,Windows,Chrome,1920px*1080px,1,12,5,5,1,3,4,3,5,4,5,4,4,5,5,3,4,5,3,4,4,3,5,4,5,3,5,5,4,5,5,4,4,3,5,5,4,4,3,4,1,2,2,5,4,4,5,4,5,5,4,4,5,4,3,3,2,1,2,3,4,4,5,4,5,3,4,5,4,3,5,4,12,12,154077.1,94352.4,45717.1,3.88888888888889,1.85714285714286,4.5,2,3.85714285714286,4,4.25,1,0,1,0,1,1,1
Xy4NxEDvDBD,G7XnYR5e,2025-01-08 19:16:26,2025-01-08 19:30:16,830,1,iyAfQn,消费者性格与AI视频广告研究真人组（Part2-Study3）,111.23.131.133,112.9946370,28.1622950,湖南省,长沙市,COMPUTER,Windows,Chrome,1536px*864px,1,12,5,6,1,1,5,4,4,4,5,5,4,4,5,5,4,4,4,3,3,4,4,4,5,4,3,3,3,4,4,5,5,4,4,5,5,4,5,4,3,3,4,3,4,3,4,4,3,3,4,4,5,4,4,5,4,4,4,4,3,3,3,4,4,4,3,4,4,3,4,4,12,12,70110.4,19850.4,30806,4.44444444444444,3.57142857142857,3.5,4.25,3.42857142857143,4.25,4.41666666666667,1,1,0,1,0,1,0
bo3PnGvblZn,xebgo3NM,2025-01-08 17:59:27,2025-01-08 18:15:12,945,1,iyAfQn,消费者性格与AI视频广告研究真人组（Part2-Study3）,117.136.108.190,115.8254350,28.7183060,江西省,南昌市,COMPUTER,Windows,Chrome,1463px*915px,1,12,4,2,1,3,4,4,5,4,4,5,4,5,4,4,5,4,3,4,4,4,5,4,4,4,4,3,4,4,4,4,4,4,3,4,4,4,3,4,2,2,2,4,4,4,4,4,4,4,4,4,4,4,3,2,4,2,2,4,4,4,4,4,4,5,4,4,4,3,5,4,12,12,56426.7,73622.5,36510.7,3.55555555555556,2.14285714285714,4,2.5,4,3.75,4.33333333333333,1,0,1,0,1,0,1
NPXjgNb9K0b,p7YGrzbe,2025-01-08 16:37:21,2025-01-08 16:51:56,875,1,iyAfQn,消费者性格与AI视频广告研究真人组（Part2-Study3）,123.9.210.80,112.4798570,34.1491600,河南省,洛阳市,COMPUTER,Windows,Chrome,2560px*1440px,1,12,4,2,1,3,4,4,5,4,5,5,4,5,4,4,5,5,5,5,4,4,5,5,5,4,3,3,4,4,4,4,2,2,3,2,4,2,4,4,2,2,1,4,5,4,4,4,5,4,5,4,5,3,2,2,2,1,4,3,4,4,5,4,4,5,4,5,5,4,4,4,12,12,88822.7,95604.6,45524.7,2.88888888888889,1.71428571428571,4.375,2.25,4.28571428571429,3.5,4.5,0,0,1,0,1,0,1
bo3PDQK5mDn,WMRmDAPe,2025-01-08 16:32:15,2025-01-08 16:43:15,660,1,iyAfQn,消费者性格与AI视频广告研究真人组（Part2-Study3）,120.8.51.240,114.4721157,36.6064572,河北省,邯郸市,COMPUTER,Windows,Chrome,1920px*1080px,1,12,4,4,1,3,5,5,5,5,5,4,4,5,5,4,5,5,4,5,5,5,4,5,5,5,5,5,5,5,4,5,3,2,2,2,2,4,2,2,2,2,2,4,5,4,5,4,5,4,4,4,5,4,4,2,2,1,2,4,4,5,5,4,5,5,5,4,5,5,4,5,12,12,38782,28347.7,30853.8,2.22222222222222,2,4.375,1.75,4.71428571428571,4.25,4.75,0,0,1,0,1,1,1
