作答ID,用户ID,开始时间,结束时间,作答时长,作答渠道,IP,经度,纬度,省份,城市,设备类型,操作系统类型,浏览器类型,屏幕分辨率,Synchronicity,Group,Gender,Education,Age,NativeLanguage,Experience_AI,SelfPersonality_1,SelfPersonality_2,SelfPersonality_3,SelfPersonality_4,SelfPersonality_5,SelfPersonality_6,SelfPersonality_7,SelfPersonality_8,SelfPersonality_9,SelfPersonality_10,SelfPersonality_11,SelfPersonality_12,SelfPersonality_13,SelfPersonality_14,SelfPersonality_15,SelfPersonality_16,BrandPersonality_1,BrandPersonality_2,BrandPersonality_3,BrandPersonality_4,BrandPersonality_5,BrandPersonality_6,BrandPersonality_7,BrandPersonality_8,BrandPersonality_9,BrandPersonality_10,BrandPersonality_11,BrandPersonality_12,BrandPersonality_13,BrandPersonality_14,BrandPersonality_15,BrandPersonality_16,InfluencerPersonality_1,InfluencerPersonality_2,InfluencerPersonality_3,InfluencerPersonality_4,InfluencerPersonality_5,InfluencerPersonality_6,InfluencerPersonality_7,InfluencerPersonality_8,InfluencerPersonality_9,InfluencerPersonality_10,InfluencerPersonality_11,InfluencerPersonality_12,InfluencerPersonality_13,InfluencerPersonality_14,InfluencerPersonality_15,InfluencerPersonality_16,ContentMatch_1,ContentMatch_2,ContentMatch_3,ContentMatch_4,ContentMatch_7,ContentMatch_8,ContentMatch_9,ContentMatch_10,ContentMatch_11,ContentMatch_12,ContentMatch_13,ContentMatch_14,ExtendedPersonality_1,ExtendedPersonality_2,ExtendedPersonality_3,ExtendedPersonality_4,ExtendedPersonality_5,ExtendedPersonality_6,ExtendedPersonality_7,ExtendedPersonality_8,ExtendedPersonality_9,ExtendedPersonality_10,ExtendedPersonality_11,ExtendedPersonality_12,ExtendedPersonality_13,ExtendedPersonality_14,ExtendedPersonality_15,ExtendedPersonality_16,TargetingGap_1R,TargetingGap_2R,TargetingGap_3R,TargetingGap_4,TargetingGap_5,DemonstrativeGap_1R,DemonstrativeGap_2R,DemonstrativeGap_3R,DemonstrativeGap_4R,DemonstrativeGap_5,PersuasiveGap_1,PersuasiveGap_2,PersuasiveGap_3,PersuasiveGap_5,PersuasiveGap_6,Recall_Brand,Recall_Influencer,ResponseTime1,ResponseTime2,ResponseTime3,AVE_SP_1,AVE_SP_2,AVE_SP_3,AVE_SP_4,AVE_BP_1,AVE_BP_2,AVE_BP_3,AVE_BP_4,AVE_IP_1,AVE_IP_2,AVE_IP_3,AVE_IP_4,AVE_EP_1,AVE_EP_2,AVE_EP_3,AVE_EP_4
WQ2NJR5japr,xMo2EYRe,28/12/2024 08:57,28/12/2024 09:11,888,1,220.191.233.139,121.3837552,28.6393381,浙江省,台州市,COMPUTER,Windows,Chrome,1920px*1080px,0,3,2,5,4,1,2,4,2,2,2,4,3,4,4,4,4,4,3,4,4,4,3,2,2,2,2,3,2,3,2,4,4,2,4,4,2,3,4,4,4,4,3,4,4,2,3,2,2,2,2,4,2,4,4,2,2,2,2,4,3,2,2,2,2,2,2,2,4,2,2,3,4,2,4,4,4,4,4,4,2,4,2,3,4,4,2,2,2,3,2,2,3,2,3,4,3,4,14,3,30814.2,60076.3,29531.3,2.5,4,3.666666667,3.75,2,2.5,3.5,3.25,3.75,3.25,2,3.5,2.5,3.25,4,3
bo38qvx0DaY,JekbzdYL,28/12/2024 08:39,28/12/2024 08:54,955,1,223.76.241.238,115.0453091,30.205333,湖北省,黄石市,COMPUTER,Windows,Chrome,1440px*900px,0,3,2,4,4,1,3,4,3,4,3,4,1,4,5,3,2,5,2,3,2,4,3,3,2,4,3,4,2,4,1,5,3,4,3,4,3,4,2,2,2,2,3,4,3,4,3,4,3,4,2,4,2,4,2,2,2,2,1,1,1,2,3,2,1,2,3,2,2,2,2,4,4,4,4,4,4,4,3,4,4,4,4,2,2,2,4,4,2,2,2,2,4,4,3,4,4,4,14,3,78664.8,63930.4,7957,3.5,4.333333333,2.333333333,3,3,2.75,3.75,3.25,2.25,3.5,3.25,3,2,4,3.75,4
vwkW5w50Wnn,kMr8Xd6L,28/12/2024 08:21,28/12/2024 08:34,769,1,60.190.143.246,120.7678664,30.7404874,浙江省,嘉兴市,COMPUTER,Windows,Chrome,1920px*1080px,0,3,1,4,4,1,3,2,2,1,1,4,3,4,2,3,3,5,2,4,4,5,4,4,3,5,2,2,4,3,2,2,1,2,3,4,1,3,2,3,1,3,2,4,2,2,2,3,1,3,4,3,3,4,4,5,5,5,4,5,5,4,5,5,4,4,4,4,2,3,3,5,2,4,1,3,2,4,2,3,3,5,2,3,3,2,4,3,3,4,4,4,3,4,3,3,4,4,14,3,23538.6,28985,42206.3,1.5,3.333333333,2.666666667,4.25,3.5,2.75,2,2.5,2.25,2.5,2.75,3.5,3,3,2.75,3.25
lAGpyEmqQP5,p7Y3Nzle,28/12/2024 08:00,28/12/2024 08:10,589,1,39.171.198.188,120.58738,30.048163,浙江省,绍兴市,COMPUTER,Windows,Chrome,1536px*864px,0,3,1,4,4,1,3,4,3,5,2,4,1,4,4,5,2,5,1,4,2,5,2,4,2,5,2,4,2,5,1,4,3,4,2,4,1,4,2,4,1,5,2,4,2,4,3,4,2,3,4,4,5,5,4,4,4,5,5,4,5,5,4,3,4,4,4,4,1,5,2,4,1,4,1,5,2,3,2,4,1,5,1,4,4,5,3,4,4,5,4,4,3,3,4,4,5,4,14,3,40468.4,97764.3,29198.6,3.5,4,2.666666667,3.25,3.25,3,3.25,2.75,3,3.25,3.25,4.5,3,2.5,3,2.75
nZoy8PXV10m,WMRywn1e,28/12/2024 01:36,28/12/2024 01:46,615,1,36.97.34.204,125.2932895,43.8883808,吉林省,长春市,COMPUTER,Windows,Chrome,1566px*979px,0,3,1,4,2,1,3,5,2,4,2,4,3,3,3,3,4,2,5,3,2,5,3,4,4,4,2,2,2,2,2,2,4,4,2,4,2,4,2,5,2,3,2,4,2,4,3,2,4,4,3,3,3,4,3,5,4,4,4,4,3,3,4,5,5,3,4,5,3,4,2,3,2,4,1,3,3,4,2,4,3,4,3,5,3,4,4,3,4,3,4,3,3,3,3,4,4,2,14,3,8734.9,4096.5,34714.3,3.25,3.333333333,4,3.25,3.5,2,3,3,3,3.25,3.25,3.25,3.5,2.5,3,3.5
Q1kZBqGRZ6q,0eyQ9YPe,28/12/2024 00:03,28/12/2024 00:19,916,1,36.163.143.2,109.7474,38.28423,陕西省,榆林市,COMPUTER,Windows,Microsoft Edge,1920px*1080px,0,3,1,4,4,1,3,4,4,5,5,5,1,2,4,5,3,5,2,3,3,5,4,5,3,5,2,5,4,5,1,4,1,3,3,5,1,4,1,5,4,5,3,5,1,4,1,5,2,3,3,4,5,5,5,4,5,5,4,4,4,5,5,4,3,4,5,5,4,4,3,5,2,3,4,3,4,4,5,1,4,3,2,4,3,4,2,1,5,4,5,5,1,3,5,2,2,5,14,3,19871.8,15342.7,36682.1,4.5,3.666666667,3.333333333,3.75,3.75,3.75,2.75,2.75,4.25,2.75,3.25,4.75,4,3.5,4,2.5
WQ2ZDOroN84,8MZmYnre,27/12/2024 23:25,27/12/2024 23:40,914,1,39.183.149.194,120.122456,29.311987,浙江省,金华市,COMPUTER,Windows,Chrome,1920px*1080px,0,3,2,4,3,1,3,3,1,2,1,5,3,3,5,5,1,5,2,5,1,5,4,5,1,4,1,5,1,5,1,5,2,2,1,5,1,5,1,3,1,3,1,5,1,2,1,5,2,3,5,5,3,5,5,5,5,5,4,5,5,5,5,5,4,5,5,4,1,3,1,5,1,5,2,5,3,4,2,5,1,5,2,3,4,4,2,2,4,5,3,5,2,3,5,2,3,2,14,3,83818.9,63191.8,71040.8,1.75,4.333333333,2.666666667,3.75,2.75,3,2.5,3,2,2.25,3.75,4.5,2.25,3.25,3.5,3.25
nZoyZ9xZ1bW,5LwJnR67,27/12/2024 22:58,27/12/2024 23:11,778,1,223.101.154.6,123.9574206,41.8744867,辽宁省,抚顺市,COMPUTER,Mac OS X,Safari,1440px*932px,0,3,2,5,2,1,3,4,3,2,3,4,1,4,5,4,2,5,2,3,2,3,3,3,2,4,1,3,1,4,1,5,2,2,2,4,2,4,1,3,1,3,2,4,1,2,2,5,2,3,4,3,3,4,5,5,5,5,5,5,4,4,4,5,4,5,5,4,2,5,3,4,2,5,2,4,2,3,1,5,2,4,1,4,5,5,1,1,4,5,5,4,2,2,3,2,2,1,14,3,48722,56669,30934,3,4.333333333,2.666666667,2.75,2.5,2.25,2.75,2.75,2.25,2.25,3.5,3.75,3.5,3.25,2.5,3
mNVQDkr0WXp,0eyQvEQe,27/12/2024 22:30,27/12/2024 22:52,1324,1,183.202.245.221,111.1239195,37.5212815,山西省,吕梁市,COMPUTER,Windows,WeChat,1536px*864px,0,3,1,4,2,1,1,4,4,4,3,4,1,4,5,2,4,4,1,4,1,4,4,4,1,4,1,5,2,5,2,4,1,5,1,4,3,4,3,2,2,4,1,5,1,4,1,3,2,2,4,4,4,5,5,5,5,5,4,4,4,5,5,5,3,4,4,4,1,4,1,4,2,5,2,5,2,3,2,3,3,4,2,4,5,4,2,1,5,4,3,5,2,1,2,2,1,1,14,3,239174.6,55391.9,68351.9,3.75,4.333333333,2.333333333,3.25,2.5,3.5,2.75,3.5,2.25,2.75,2.75,4.5,2.5,3.25,3,3
oGm8ZDqW0R6,AM99AAnM,27/12/2024 22:32,27/12/2024 22:41,552,1,211.141.218.162,118.373637,31.329081,安徽省,芜湖市,COMPUTER,Windows,Chrome,1440px*960px,0,3,2,4,2,1,2,2,1,1,1,4,3,3,3,5,3,5,2,2,1,2,1,3,1,4,1,4,2,4,1,5,5,5,4,5,4,4,2,5,4,4,3,3,2,3,2,5,4,4,2,5,2,5,2,2,2,1,3,3,2,3,1,1,1,2,2,2,3,1,1,4,3,4,3,5,4,5,4,4,3,3,3,5,4,5,1,2,2,3,2,5,2,2,3,3,2,2,14,3,37846,38631.3,30913.3,1.25,3.333333333,3.333333333,1.5,2.25,2.75,4.75,3.75,4,2.5,3.75,3.5,1.75,3.5,4.5,3.25
mNV5mKvQOxO,xMo8yk07,28/12/2024 08:44,28/12/2024 08:55,664,1,119.125.22.24,116.182633,24.668321,广东省,梅州市,COMPUTER,Windows,Chrome,1536px*864px,1,4,1,4,4,1,3,4,4,5,4,4,2,5,4,4,1,4,1,4,1,4,2,5,3,4,2,5,2,5,2,5,2,2,2,5,2,4,1,4,2,5,2,5,2,4,1,4,2,2,4,5,4,5,4,5,4,4,5,5,4,4,5,4,5,4,5,4,1,5,2,5,2,4,1,4,1,2,2,4,1,4,2,4,5,4,2,1,4,5,4,4,2,2,1,2,2,1,4,4,39474.9,25966.4,32646.6,4.25,4.333333333,2,2.75,3.5,3.5,2.75,3,3.25,3,3,4.5,3,3,2.25,2.75
vwkW5PxRoBx,9LQy2wvL,28/12/2024 08:10,28/12/2024 08:34,1422,1,220.191.226.7,120.5876863,29.9929493,浙江省,绍兴市,COMPUTER,Windows,WeChat,1600px*900px,1,4,2,4,5,1,3,4,5,5,4,2,1,4,4,3,2,5,1,4,1,2,2,5,5,4,2,4,1,5,1,4,2,1,2,5,1,4,1,5,5,4,2,2,1,2,1,4,1,1,5,4,5,3,5,5,4,5,4,5,4,5,4,5,5,4,4,5,2,5,2,3,1,4,1,4,1,2,1,4,1,5,2,4,5,5,1,1,5,4,5,5,1,2,4,2,2,1,4,4,71644.7,98174.9,40959.3,4.5,3.333333333,2,2.25,4,2.75,2.25,2.75,4,1.5,2.75,4.25,3.5,2.25,2,3
lAGk0J65Bp9,WMR33A17,27/12/2024 23:41,28/12/2024 00:09,1666,1,110.185.101.69,104.0781105,30.6602396,四川省,成都市,COMPUTER,Windows,Chrome,1920px*1080px,1,4,2,4,3,1,3,4,4,5,4,4,1,4,5,5,2,5,2,5,2,4,1,4,1,4,1,5,2,5,2,5,1,4,1,4,1,4,1,4,1,4,1,4,1,5,2,5,2,5,4,4,5,4,5,4,5,4,5,5,4,5,4,4,5,4,5,4,1,4,1,5,2,5,2,5,2,4,1,4,1,5,2,4,5,4,2,1,4,5,4,5,2,2,1,2,2,1,4,4,5029.5,1328.9,819.7,4.25,4.333333333,3,3,2.5,3.5,2.75,2.5,2.5,3,4,4.5,2.5,3.5,3,3
NPXZQPar5bm,WLGqm2pM,27/12/2024 21:49,27/12/2024 21:59,615,1,27.195.0.185,118.0876529,36.7532161,山东省,淄博市,COMPUTER,Windows,Chrome,1440px*900px,1,4,2,4,3,1,3,4,4,4,5,3,2,5,4,3,4,3,4,3,2,2,2,5,4,4,3,3,1,2,2,3,2,2,3,3,1,3,2,5,5,4,3,3,1,2,2,3,3,2,4,3,5,2,4,5,4,5,5,4,4,5,4,4,5,4,4,5,4,4,2,3,1,3,2,3,2,3,2,3,1,2,2,4,4,5,2,1,4,5,4,4,2,2,1,2,1,2,4,4,11508.8,10167.4,26829.1,4.25,4,3.666666667,2.25,4,2,2.5,2.25,4.25,2,3,3.5,3.75,2.25,2.5,2
WQ2ZWm0m31P,xeb63dye,27/12/2024 21:36,27/12/2024 21:51,882,1,183.197.92.46,114.4916153,37.0722339,河北省,邢台市,COMPUTER,Windows,Chrome,1366px*768px,1,4,2,5,4,1,3,4,4,5,4,5,1,4,5,4,2,4,1,5,2,4,2,4,4,4,1,4,1,4,1,5,1,2,1,4,2,3,1,5,4,4,2,5,1,4,1,4,2,2,5,4,5,4,5,4,5,5,4,5,5,4,4,5,4,4,5,5,2,5,4,4,1,4,1,5,2,4,1,4,1,4,2,4,5,4,2,1,5,5,4,5,2,2,2,2,2,1,4,4,73210.4,65259.3,26677.6,4.25,4.666666667,2.333333333,3.25,3.25,2.5,2.25,2.5,3.75,2.75,3.25,4.5,4,2.5,3,2.75
g901gN6A9El,oe4JgDx7,27/12/2024 21:32,27/12/2024 21:57,1490,1,180.102.132.190,118.7377507,32.0992691,江苏省,南京市,COMPUTER,Windows,Chrome,1920px*1080px,1,4,2,4,6,1,3,4,4,5,5,4,2,5,4,5,2,4,1,5,2,4,1,4,4,4,2,5,1,4,1,5,2,4,1,4,1,4,1,4,3,4,1,4,2,5,2,5,2,4,5,5,4,5,5,4,4,5,5,4,5,5,4,5,5,4,5,4,2,5,1,4,1,4,1,5,2,4,1,5,2,4,1,4,4,5,2,1,4,4,5,5,1,1,4,1,2,1,4,4,297479.3,2644,30122.2,4.5,4.333333333,2.666666667,3,3.5,2.75,3,2.5,3,3.25,4,4.75,3,2.5,3,3
Xy4ZjJQGPB8,kMrab2pe,27/12/2024 21:34,27/12/2024 21:51,976,1,112.109.151.10,117.6719642,24.5135221,福建省,漳州市,COMPUTER,Windows,Chrome,1536px*864px,1,4,1,4,3,1,3,5,4,5,5,4,2,4,5,4,2,4,1,5,3,3,2,4,4,5,2,4,1,4,1,4,2,2,2,3,2,3,1,5,4,4,3,3,1,4,1,4,2,3,5,3,4,3,5,4,5,5,4,5,4,4,5,5,4,5,5,5,4,4,3,3,1,3,2,3,1,4,3,3,1,3,2,4,4,4,2,3,5,5,4,4,2,2,3,2,2,2,4,4,103771.2,124188.2,31040.4,4.75,4.333333333,2.333333333,3.25,3.75,2.5,2.5,2.25,4,2.25,3.5,3.75,4,2.25,2.75,2.25
oGm5kkn6ZJB,0ey2R49M,27/12/2024 21:32,27/12/2024 21:50,1102,1,117.182.157.32,109.2271847,23.727183,广西壮族自治区,来宾市,COMPUTER,Windows,Chrome,1280px*720px,1,4,1,4,2,1,3,4,4,5,4,4,2,1,4,4,3,5,2,4,4,3,4,4,2,4,1,4,1,5,2,4,1,2,2,4,1,5,1,4,4,4,2,5,1,4,2,4,1,2,4,4,5,5,5,5,5,4,4,5,4,4,5,5,4,4,5,5,1,4,2,4,1,5,2,4,1,2,2,4,1,5,2,5,5,4,2,1,4,5,5,5,1,2,4,1,2,1,4,4,59452.1,46264.8,29024.6,4.25,3,3,3.75,2.75,3,2.25,2.75,3.5,3,2.75,4.75,3,3,2.25,3
bo3Qxap3OGy,9LQxVOG7,27/12/2024 21:28,27/12/2024 21:38,609,1,180.136.227.168,108.3111942,22.8052092,广西壮族自治区,南宁市,COMPUTER,Windows,Chrome,1536px*864px,1,4,1,4,3,1,3,4,4,4,3,4,1,4,4,3,2,5,2,5,2,4,3,4,2,5,1,4,1,4,2,5,1,3,2,5,1,5,1,4,2,5,1,5,1,4,1,4,1,3,4,4,5,4,4,4,5,5,4,4,5,5,5,5,4,5,5,4,1,4,2,4,1,5,1,4,2,4,1,5,1,5,1,4,5,5,2,2,4,5,5,5,2,2,3,3,2,2,4,4,29904.4,23057.3,27340.8,3.75,4,2.333333333,3.5,3,2.75,2.75,3,3,2.75,3,4.25,2.75,2.75,2.75,3
Xy4v2Jv0Rg5,DMxk0QJe,27/12/2024 21:25,27/12/2024 21:36,673,1,183.202.76.68,112.8736746,35.493284,山西省,晋城市,COMPUTER,Windows,WeChat,1280px*720px,1,4,2,4,3,1,3,4,3,3,4,4,3,4,5,3,2,3,2,4,2,5,4,4,3,4,2,3,1,4,1,5,2,5,1,4,1,4,1,5,2,5,1,4,1,5,1,4,1,3,5,4,4,4,5,4,5,5,4,5,4,4,5,5,4,5,4,4,1,4,1,3,1,4,2,5,1,3,2,5,2,4,3,4,5,4,2,1,4,5,3,4,2,2,4,2,1,2,4,4,27316.8,384.5,27159.7,3.5,4.333333333,2.333333333,3.75,3.25,2.25,3.25,2.5,3.25,2.75,3.25,4.25,2.5,2.5,2.75,3.5
Xy4mpP4Ylvd,Ke5zoyVM,28/12/2024 08:48,28/12/2024 09:19,1847,1,112.16.31.243,120.683704,27.9911397,浙江省,温州市,COMPUTER,Windows,Chrome,1280px*800px,0,4,2,4,2,1,2,3,2,3,2,4,2,4,4,4,2,4,3,4,3,4,2,3,2,3,2,4,2,4,3,3,3,2,2,4,3,4,3,4,4,4,3,4,2,4,2,4,2,3,3,3,4,4,4,3,4,4,4,4,4,3,4,4,3,4,4,4,2,4,2,4,2,4,2,4,3,3,2,4,2,4,3,4,4,4,2,3,3,4,3,4,3,3,4,3,3,2,13,4,33967.1,30123.6,31466.1,2.5,4,3,3.25,2.5,3.25,2.5,3.5,3.75,3,3,3.75,3,3,3,3.25
mNV50E3x3Z4,WLGok15L,28/12/2024 08:49,28/12/2024 09:06,1011,1,218.201.214.56,106.9144178,27.7040959,贵州省,遵义市,COMPUTER,Windows,Chrome,1920px*1080px,0,4,1,4,2,1,2,3,2,3,2,4,2,3,5,3,2,4,2,4,1,2,2,4,2,3,2,4,4,4,3,4,2,3,2,4,2,4,3,3,2,2,3,4,2,2,2,3,2,4,3,4,4,4,4,4,4,5,4,4,4,4,5,5,5,4,5,3,3,4,3,4,2,4,2,3,2,3,3,3,3,4,2,3,4,3,2,2,4,3,4,4,2,2,2,3,2,4,13,4,49315.9,23807,26131.5,2.5,4,2.333333333,2.25,2.75,3.75,2.75,3.25,2.5,2.5,3,4,3.25,3,2.75,3
WQ2NG2B3XNJ,JekvZ1bL,28/12/2024 08:33,28/12/2024 08:46,753,1,221.230.48.44,119.429747,32.186822,江苏省,镇江市,COMPUTER,Windows,Chrome,1920px*1080px,0,4,2,4,4,1,3,4,4,4,4,4,1,4,4,5,2,4,1,5,2,4,4,4,1,3,2,5,1,4,1,4,2,2,1,4,2,5,2,3,1,3,2,5,2,5,1,4,1,3,4,3,4,4,5,5,4,5,5,4,5,5,4,5,4,4,5,5,1,3,2,5,2,4,1,4,3,3,2,4,1,5,2,4,5,5,2,1,4,5,4,5,2,1,4,2,2,2,13,4,67379.1,81830.6,38223.3,4,4,2.666666667,3.75,2.5,2.75,2.25,3.25,2.25,3.25,3,4,2.75,3,3,3
mNVAG5WPmZ4,DMxkqEKe,28/12/2024 08:16,28/12/2024 08:30,799,1,27.25.54.97,112.243178,30.98886,湖北省,荆门市,COMPUTER,Windows,Chrome,1920px*1080px,0,4,2,4,4,1,2,4,3,3,3,4,2,4,4,3,2,4,3,4,3,4,2,3,2,3,3,4,3,3,2,3,3,3,3,4,2,3,3,4,3,2,4,3,3,3,3,3,2,3,3,3,4,4,4,3,4,4,4,2,2,3,3,4,3,3,3,2,4,3,4,3,4,3,3,2,4,3,4,2,4,2,3,3,2,2,2,3,4,3,3,3,4,4,3,3,3,3,13,4,38959.2,13125.5,29814.9,3.25,4,2.666666667,3.25,2.75,3,3,3,3.25,3,2.75,3.75,3.25,3.25,3.25,2.75
lAGpyrGN5l5,QL00vljL,28/12/2024 07:57,28/12/2024 08:09,715,1,101.66.172.180,119.6481889,29.0773221,浙江省,金华市,COMPUTER,Windows,Chrome,1440px*900px,0,4,1,2,5,1,3,4,4,5,4,4,1,3,4,4,1,4,2,4,3,4,3,4,1,5,2,4,1,4,1,5,2,2,3,5,2,4,1,5,3,5,2,5,1,4,1,5,1,2,5,4,5,4,5,5,5,5,4,4,5,4,4,5,4,5,5,4,2,5,3,5,1,4,1,4,2,5,1,4,1,5,1,4,4,5,1,2,5,4,4,5,2,2,4,1,4,2,13,4,30598.9,72767,27888.9,4.25,3.666666667,2.333333333,3.5,3,2.5,3,3,3.75,2.75,3.25,4.5,3.5,2.75,3,2.75
Q1kZblAkyGv,nePQ6XNM,28/12/2024 01:01,28/12/2024 01:20,1128,1,27.155.50.30,117.337319,23.95438,福建省,漳州市,COMPUTER,Windows,Chrome,1536px*864px,0,4,1,4,2,1,3,4,4,2,4,3,2,4,3,4,3,5,2,2,1,2,2,3,2,4,1,4,3,4,4,4,2,4,1,5,2,5,2,5,4,5,3,4,4,4,3,4,2,2,4,4,5,4,4,3,4,3,3,2,4,3,4,3,2,4,4,4,2,2,1,5,3,4,4,4,3,4,4,5,2,4,4,2,3,2,4,4,2,2,3,4,4,4,3,4,4,4,13,4,66980.6,67791.3,40192.3,3.5,3.333333333,3,1.75,2.5,3.75,2.75,3.5,4.25,3.75,3,4.25,2.25,4,3.75,3.75
Xy4ZPOlVZYo,J7qplWgM,27/12/2024 09:17,27/12/2024 09:43,1549,1,24.217.73.175,-90.327845,38.622567,Missouri,Overland,COMPUTER,Windows,Chrome,1536px*864px,0,4,2,5,4,1,3,4,4,4,4,4,2,5,4,3,2,4,1,4,2,3,2,4,1,4,2,4,2,3,1,4,1,5,1,4,2,5,2,4,1,4,3,4,2,5,2,4,1,5,4,5,4,3,4,4,5,4,3,5,4,4,5,4,5,4,4,4,1,5,2,4,1,5,2,4,1,4,1,4,2,4,1,4,5,4,5,4,3,4,4,4,2,3,4,3,2,2,13,4,30729.9,15416.6,4874.2,4,4.333333333,2,2.75,2.75,2.5,2.75,3.25,3,3.25,3.5,4,3,3,2.5,2.75
mNVQNKr0B3d,27alYJ6M,27/12/2024 22:51,27/12/2024 23:12,1276,1,117.189.197.207,103.819836,1.352083,贵州省,安顺市,COMPUTER,Windows,Chrome,1536px*864px,0,4,2,4,4,1,3,4,3,4,4,5,2,3,5,4,1,5,2,5,3,4,4,4,2,4,1,5,4,4,3,5,2,2,2,5,2,5,3,5,2,5,1,4,2,5,3,5,2,2,4,5,4,5,4,5,4,4,5,5,4,4,5,5,4,5,5,4,1,4,2,5,2,5,2,5,1,4,1,4,1,5,1,4,5,4,2,1,4,3,5,5,2,1,4,2,2,1,13,4,63662.8,70203,32232.4,3.75,4.333333333,2.333333333,4,2.75,4,2.75,3.75,3.25,3.5,3.25,4.5,2.75,3.5,2.75,2.75
oGm8P1RD3VB,o7jG9QOL,27/12/2024 22:41,27/12/2024 22:57,964,1,39.168.206.127,116.359322,27.968071,江西省,抚州市,COMPUTER,Windows,Chrome,1366px*768px,0,4,2,5,3,1,3,3,2,2,2,5,3,4,4,5,2,4,2,5,2,4,4,3,2,4,2,5,4,4,2,5,2,3,2,4,4,4,2,5,4,4,2,3,3,4,3,4,2,3,2,2,5,3,4,3,4,4,2,2,4,3,4,4,4,4,5,4,4,3,2,5,3,4,2,4,3,4,3,2,4,2,3,4,4,4,1,2,4,3,4,3,2,2,3,2,2,3,13,4,54947.8,60476.4,31409.2,2.25,4.333333333,3,3.75,2.75,3.75,3,3.5,3.75,3.25,2.75,3.5,3.25,3.5,3.5,2.75
nZoyzNDGlRm,veEz39MG,27/12/2024 22:31,27/12/2024 22:44,762,1,111.33.203.67,117.294074,39.114621,天津市,市辖区,COMPUTER,Windows,Chrome,1920px*1080px,0,4,1,5,3,1,3,4,3,4,3,4,2,3,3,4,3,4,2,4,1,4,3,4,3,4,2,4,2,3,3,4,3,3,2,4,3,3,2,3,2,3,2,3,3,4,3,4,2,3,3,3,3,4,3,4,4,4,4,4,4,4,5,5,4,4,4,4,2,4,2,3,3,3,3,4,2,3,3,4,3,3,2,4,4,4,2,2,3,3,3,4,2,2,2,3,2,2,13,4,107679,31258.3,28103.3,3.5,3.333333333,3,3,3.25,3,3,3,2.5,3.25,3,3.25,3,3,3,3
Q1kZBr5dzpQ,veEz39MG,28/12/2024 00:11,28/12/2024 00:23,701,1,111.33.203.67,117.294071,39.114622,天津市,市辖区,COMPUTER,Windows,Chrome,1920px*1080px,1,5,1,5,3,1,3,4,3,3,3,4,1,3,3,4,3,4,2,4,2,4,4,4,2,4,2,4,3,4,3,4,2,4,2,5,4,4,3,3,2,4,2,4,3,4,2,4,2,4,3,4,2,4,2,4,4,4,4,4,4,4,4,4,4,4,5,3,2,3,2,4,3,3,3,4,3,4,3,4,2,4,3,3,3,3,2,2,3,3,3,4,2,3,3,3,2,2,5,5,79107.2,25903.8,36294.1,3.25,3.333333333,3,3.5,3,3.5,3,4,2.75,3.25,3.25,3,2.5,3.25,3.5,3.25
g901W5qJgjl,z7AyZX67,27/12/2024 22:06,27/12/2024 22:17,674,1,61.174.60.41,119.9260175,28.452851,浙江省,丽水市,COMPUTER,Windows,Chrome,1600px*900px,1,5,2,4,3,1,3,2,2,2,2,4,2,5,3,4,2,4,2,5,4,4,4,2,2,3,2,5,3,4,4,4,2,4,3,4,4,4,3,2,1,3,2,5,4,3,4,4,3,4,4,4,2,4,2,4,5,5,4,4,4,5,4,4,4,5,4,3,2,3,1,5,4,3,4,4,3,4,3,4,4,5,4,4,4,4,2,2,2,2,3,4,2,2,2,1,2,2,5,5,49860,45731,32929,2,4,2.666666667,4.25,2.25,4,3.25,3.75,2,4,3.75,3,2.25,4,3.5,4.25
oGm81DPPRwn,JekJpXjL,27/12/2024 21:48,27/12/2024 22:04,987,1,59.36.8.130,113.749078,23.0194246,广东省,东莞市,COMPUTER,Windows,Chrome,1366px*768px,1,5,2,3,5,1,3,4,4,5,5,4,1,2,4,4,2,5,1,2,2,2,2,2,1,4,1,4,4,5,4,5,2,2,2,5,2,5,2,4,1,4,2,5,4,5,4,4,1,1,4,4,4,5,4,4,5,5,4,5,4,5,4,4,4,5,5,4,1,4,4,5,4,4,4,5,1,1,2,4,2,4,2,4,5,4,1,2,2,1,2,2,1,2,1,1,2,2,5,5,111379.7,113336.3,84726.3,4.5,3.333333333,2.333333333,2,2,4.25,2.75,3.5,2.75,4.5,2.5,4.25,3.25,4.25,2.25,3
vwkR9QOK36b,BepbDAB7,27/12/2024 21:49,27/12/2024 22:15,1534,1,58.222.185.242,119.9226594,32.4832614,江苏省,泰州市,COMPUTER,Windows,Chrome,1280px*720px,1,5,2,4,6,1,3,3,2,3,2,4,2,3,4,5,2,5,1,4,2,5,2,1,1,4,2,5,4,4,2,4,1,1,1,4,2,5,3,2,1,3,1,5,3,5,2,5,1,2,4,5,4,4,3,5,4,5,5,5,5,5,4,4,4,5,4,3,1,2,2,5,2,4,3,5,2,2,2,5,2,4,3,5,4,5,2,1,2,4,2,4,2,2,2,2,2,2,5,5,176906.1,259345.7,9410.9,2.5,3.666666667,2.666666667,3.25,2,3.75,1.75,3.5,1.75,3.75,3,4,2,3.5,2.75,3.5
