作答ID,用户ID,开始时间,结束时间,作答时长,作答渠道,IP,经度,纬度,省份,城市,设备类型,操作系统类型,浏览器类型,屏幕分辨率,Synchronicity,Extrovert,Sensing,Thinking,Judging,Group,Gender,Education,Age,NativeLanguage,Experience_AI,SelfPersonality_IE1,SelfPersonality_IE2,SelfPersonality_IE3,SelfPersonality_IE4,SelfPersonality_SN1,SelfPersonality_SN2,SelfPersonality_SN3,SelfPersonality_SN4,SelfPersonality_FT1,SelfPersonality_FT2,SelfPersonality_FT3,SelfPersonality_FT4,SelfPersonality_PJ1,SelfPersonality_PJ2,SelfPersonality_PJ3,SelfPersonality_PJ4,BrandPersonality_IE1,BrandPersonality_IE2,BrandPersonality_IE3,BrandPersonality_IE4,BrandPersonality_SN1,BrandPersonality_SN2,BrandPersonality_SN3,BrandPersonality_SN4,BrandPersonality_FT1,BrandPersonality_FT2,BrandPersonality_FT3,BrandPersonality_FT4,BrandPersonality_PJ1,BrandPersonality_PJ2,BrandPersonality_PJ3,BrandPersonality_PJ4,InfluencerPersonality_IE1,InfluencerPersonality_IE2,InfluencerPersonality_IE3,InfluencerPersonality_IE4,InfluencerPersonality_SN1,InfluencerPersonality_SN2,InfluencerPersonality_SN3,InfluencerPersonality_SN4,InfluencerPersonality_FT1,InfluencerPersonality_FT2,InfluencerPersonality_FT3,InfluencerPersonality_FT4,InfluencerPersonality_PJ1,InfluencerPersonality_PJ2,InfluencerPersonality_PJ3,InfluencerPersonality_PJ4,ContentMatch_1,ContentMatch_2,ContentMatch_3,ContentMatch_4,ContentMatch_7,ContentMatch_8,ContentMatch_9,ContentMatch_10,ContentMatch_11,ContentMatch_12,ContentMatch_13,ContentMatch_14,ExtendedPersonality_IE1,ExtendedPersonality_IE2,ExtendedPersonality_IE3,ExtendedPersonality_IE4,ExtendedPersonality_SN1,ExtendedPersonality_SN2,ExtendedPersonality_SN3,ExtendedPersonality_SN4,ExtendedPersonality_FT1,ExtendedPersonality_FT2,ExtendedPersonality_FT3,ExtendedPersonality_FT4,ExtendedPersonality_PJ1,ExtendedPersonality_PJ2,ExtendedPersonality_PJ3,ExtendedPersonality_PJ4,TargetingGap_1,TargetingGap_2,TargetingGap_3,TargetingGap_4,TargetingGap_5,DemonstrativeGap_1,DemonstrativeGap_2,DemonstrativeGap_3,DemonstrativeGap_4,DemonstrativeGap_5,PersuasiveGap_1,PersuasiveGap_2,PersuasiveGap_3,PersuasiveGap_5,PersuasiveGap_6,Recall_Brand,Recall_Influencer,ResponseTime1,ResponseTime2,ResponseTime3,Discrepancy1_E,Discrepancy1_I,Discrepancy1_S,Discrepancy1_N,Discrepancy1_T,Discrepancy1_F,Discrepancy1_J,Discrepancy1_P,Discrepancy2_E,Discrepancy2_I,Discrepancy2_S,Discrepancy2_N,Discrepancy2_T,Discrepancy2_F,Discrepancy2_J,Discrepancy2_P,Discrepancy3_E,Discrepancy3_I,Discrepancy3_S,Discrepancy3_N,Discrepancy3_T,Discrepancy3_F,Discrepancy3_J,Discrepancy3_P,Discrepancy4_E,Discrepancy4_I,Discrepancy4_S,Discrepancy4_N,Discrepancy4_T,Discrepancy4_F,Discrepancy4_J,Discrepancy4_P,ABS_Discrepancy1_E,ABS_Discrepancy1_I,ABS_Discrepancy1_S,ABS_Discrepancy1_N,ABS_Discrepancy1_T,ABS_Discrepancy1_F,ABS_Discrepancy1_J,ABS_Discrepancy1_P,ABS_Discrepancy2_E,ABS_Discrepancy2_I,ABS_Discrepancy2_S,ABS_Discrepancy2_N,ABS_Discrepancy2_T,ABS_Discrepancy2_F,ABS_Discrepancy2_J,ABS_Discrepancy2_P,ABS_Discrepancy3_E,ABS_Discrepancy3_I,ABS_Discrepancy3_S,ABS_Discrepancy3_N,ABS_Discrepancy3_T,ABS_Discrepancy3_F,ABS_Discrepancy3_J,ABS_Discrepancy3_P,ABS_Discrepancy4_E,ABS_Discrepancy4_I,ABS_Discrepancy4_S,ABS_Discrepancy4_N,ABS_Discrepancy4_T,ABS_Discrepancy4_F,ABS_Discrepancy4_J,ABS_Discrepancy4_P,filter_$
WQ2x1m18BWB,9LQkvXWM,05/01/2025 21:35,05/01/2025 21:44,560,1,223.104.196.69,117.849892,36.488773,山东省,淄博市,COMPUTER,Windows,Chrome,1494px*934px,1,1,0,1,1,16,1,5,3,1,3,4,4,4,4,3,1,4,4,2,2,3,4,3,2,5,4,4,3,5,2,3,2,5,2,3,2,2,2,5,3,4,1,4,1,3,2,5,2,2,2,3,1,2,2,5,3,4,3,4,5,3,4,2,3,4,3,4,5,4,4,4,1,3,2,5,3,4,1,3,2,5,3,4,1,2,3,2,1,3,2,2,2,1,3,2,2,2,4,1,2,1,16,16,27913.7,24553,26759.1,2,-2,1,0,0,-1,0,2,1,-5,0,1,0,-3,-1,0,-2,2,1,0,3,-1,-3,0,-1,5,2,-1,3,1,-2,2,2,2,1,0,0,1,0,2,1,5,0,1,0,3,1,0,2,2,1,0,3,1,3,0,1,5,2,1,3,1,2,2,0
oGm5o8PxlZ4,27aJGEEL,05/01/2025 21:28,05/01/2025 21:40,714,1,58.19.39.107,114.3215364,30.5673932,湖北省,武汉市,COMPUTER,Windows,Chrome,1229px*692px,1,1,0,1,1,16,1,5,3,1,3,4,3,4,4,4,2,4,4,5,2,4,2,4,1,5,4,4,2,5,2,5,2,3,2,3,2,3,2,4,2,3,1,3,2,3,2,4,2,3,2,4,3,4,4,4,3,4,2,4,4,3,4,4,4,4,4,4,5,4,4,4,3,4,2,4,1,4,2,4,1,4,4,4,2,4,2,1,1,1,2,2,4,2,2,2,2,2,2,2,2,2,16,14,29103.1,10124.8,34517.1,3,0,1,0,-2,3,-1,2,2,-3,1,0,1,3,1,0,-1,-1,0,1,2,-1,1,-1,0,2,0,1,-1,-1,-1,1,3,0,1,0,2,3,1,2,2,3,1,0,1,3,1,0,1,1,0,1,2,1,1,1,0,2,0,1,1,1,1,1,0
Q1kOvqVKadd,p7YZp40L,06/01/2025 08:28,06/01/2025 08:40,743,1,36.4.141.48,117.808988,30.932681,安徽省,铜陵市,COMPUTER,Windows,Chrome,1536px*864px,0,1,0,1,1,16,2,4,4,1,3,3,4,4,3,5,2,3,4,4,3,5,2,5,4,4,4,5,2,5,2,4,1,3,2,5,2,2,2,5,2,3,1,4,1,4,2,5,2,3,2,5,2,3,2,5,2,4,1,5,4,5,4,4,5,4,4,5,3,4,5,4,1,2,3,4,1,4,1,4,3,3,2,5,2,5,3,2,1,2,2,1,2,1,2,1,2,2,3,2,2,1,1,16,34347,36420.3,40747,2,-1,-1,1,-1,0,-1,0,-1,-4,0,0,1,-1,0,-5,-4,0,1,1,0,-1,2,-2,-1,3,0,2,-2,0,1,3,2,1,1,1,1,0,1,0,1,4,0,0,1,1,0,5,4,0,1,1,0,1,2,2,1,3,0,2,2,0,1,3,1
oGm8bGka2l4,xLVZKBmL,05/01/2025 23:58,06/01/2025 00:08,650,1,139.205.237.162,104.7222752,31.4671876,四川省,绵阳市,COMPUTER,Windows,Chrome,1920px*1080px,0,1,0,1,1,16,2,4,4,1,3,4,4,4,4,5,2,4,5,4,3,5,2,4,3,2,2,2,1,3,1,4,2,5,2,5,1,1,1,4,3,4,4,2,1,3,2,4,3,4,4,4,2,2,1,4,5,4,4,4,4,5,5,4,4,5,5,5,4,4,4,3,1,2,2,4,2,5,3,4,1,2,2,4,3,4,3,3,3,4,4,4,4,3,3,2,2,2,4,2,3,4,1,16,48272.415,13994.71,27234.33,0,1,1,3,0,1,0,2,3,-5,1,4,3,-2,-2,4,0,-1,0,-1,0,-1,0,1,-3,5,0,-2,-3,2,2,-1,0,1,1,3,0,1,0,2,3,5,1,4,3,2,2,4,0,1,0,1,0,1,0,1,3,5,0,2,3,2,2,1,1
oGm8Gn38pZ4,0eyn8obM,05/01/2025 23:02,05/01/2025 23:15,739,1,58.51.141.227,114.8922408,30.449518,湖北省,黄冈市,COMPUTER,Mac OS X,Chrome,1366px*768px,0,1,0,1,1,16,1,4,2,1,3,4,4,5,5,4,1,2,4,4,4,4,2,5,4,2,1,2,5,2,5,2,2,1,2,2,4,4,4,2,2,2,2,2,2,2,4,1,4,1,4,2,5,1,4,2,2,1,2,2,1,2,2,2,1,2,2,1,2,2,1,2,2,4,4,4,1,2,2,2,5,4,4,2,2,2,2,4,5,4,5,4,2,2,4,2,5,4,5,5,4,5,1,16,14220,15103.4,31349.2,0,-4,1,4,3,1,1,0,5,-3,4,5,5,3,4,-1,2,4,3,1,0,-1,0,0,-3,3,0,0,-2,-3,-3,1,0,4,1,4,3,1,1,0,5,3,4,5,5,3,4,1,2,4,3,1,0,1,0,0,3,3,0,0,2,3,3,1,1
mNVQPGxworA,p7YzE8mL,05/01/2025 22:51,05/01/2025 23:04,732,1,183.192.35.164,121.508488,31.280493,上海市,市辖区,COMPUTER,Windows,Chrome,1707px*960px,0,1,0,1,1,16,2,5,3,1,3,4,3,2,2,5,2,4,5,4,1,4,1,3,2,3,4,3,1,4,1,3,2,2,1,2,2,2,1,4,3,4,2,3,1,2,2,5,3,2,2,3,1,2,2,3,1,4,2,4,5,5,3,2,3,3,4,5,4,5,3,3,1,2,2,5,2,3,2,2,1,3,2,4,3,2,1,2,2,1,2,1,3,2,4,3,2,4,5,3,2,3,1,16,49918.3,38906.8,36960.1,2,1,-2,2,-1,0,1,-2,1,-2,2,2,3,1,-1,-3,-2,-1,3,-1,1,0,-2,1,-1,2,-1,-1,-3,-1,0,2,2,1,2,2,1,0,1,2,1,2,2,2,3,1,1,3,2,1,3,1,1,0,2,1,1,2,1,1,3,1,0,2,1
lAGkg2oKQ14,ve8GBO4L,05/01/2025 22:43,05/01/2025 22:53,589,1,221.3.114.163,120.382335,36.18084,山东省,青岛市,COMPUTER,Windows,Chrome,1536px*864px,0,1,0,1,1,16,1,4,3,1,3,5,4,5,4,5,1,2,5,4,2,5,2,5,3,4,2,3,2,5,1,5,2,4,1,5,1,2,2,4,2,4,1,3,1,3,2,4,2,2,1,5,2,2,2,4,2,4,3,2,2,2,1,2,1,1,1,2,1,1,1,4,2,5,2,4,1,5,1,4,2,3,2,4,1,5,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,16,22293.8,43222.4,2815.5,2,0,3,0,0,1,0,2,4,-5,1,1,2,0,1,0,1,-1,0,1,0,-1,1,1,-1,4,2,0,-2,0,0,3,2,0,3,0,0,1,0,2,4,5,1,1,2,0,1,0,1,1,0,1,0,1,1,1,1,4,2,0,2,0,0,3,1
mNVQW5NgGDO,BepDyWBe,05/01/2025 22:36,05/01/2025 22:47,642,1,112.36.225.71,117.007035,36.618969,山东省,济南市,COMPUTER,Windows,Chrome,1280px*720px,0,1,0,1,1,16,1,4,2,1,3,4,4,5,5,4,1,4,5,3,4,4,1,4,1,3,2,4,1,5,2,5,3,4,2,5,2,2,2,5,3,4,3,3,1,4,2,5,3,5,3,4,2,2,1,5,3,4,3,4,5,5,4,5,4,4,5,4,5,5,4,4,1,5,3,4,3,5,2,4,3,4,3,5,2,5,1,1,2,2,1,2,2,1,2,2,2,1,2,2,4,1,1,16,12311.2,8780.7,30801.4,2,0,-1,1,1,-1,0,0,2,-6,-2,4,1,-2,-2,3,0,-1,0,0,1,-2,1,3,0,5,1,-3,1,-1,3,0,2,0,1,1,1,1,0,0,2,6,2,4,1,2,2,3,0,1,0,0,1,2,1,3,0,5,1,3,1,1,3,0,1
WQ2ZxxO5dKJ,pLzWkOOe,06/01/2025 00:55,06/01/2025 01:07,706,1,113.140.36.66,107.162668,34.349252,陕西省,宝鸡市,COMPUTER,Windows,Chrome,2048px*1280px,1,0,0,0,0,2,2,4,2,1,3,4,4,5,4,4,2,5,4,3,3,4,1,3,2,3,2,3,2,5,2,4,3,4,2,3,1,2,2,4,3,4,2,3,3,4,2,3,1,3,1,3,2,2,2,3,1,5,2,5,4,4,5,3,4,4,5,4,4,3,4,4,3,5,3,3,2,4,1,4,1,2,1,4,2,3,2,3,3,3,4,2,4,3,2,3,4,4,3,5,4,4,2,2,16328.9,64089.8,39826.7,1,1,2,-3,0,1,0,-2,2,-3,3,-2,2,0,-2,-1,1,-2,-1,2,1,1,-1,1,0,2,-2,1,-1,2,1,0,1,1,2,3,0,1,0,2,2,3,3,2,2,0,2,1,1,2,1,2,1,1,1,1,0,2,2,1,1,2,1,0,0
oGm89a8kpZ4,p7YR89ZL,05/01/2025 21:42,05/01/2025 22:09,1620,1,111.163.118.144,117.2157365,39.1304422,天津市,市辖区,COMPUTER,Windows,WeChat,1536px*864px,1,0,0,0,0,2,2,4,6,1,3,4,3,5,4,4,1,5,4,2,2,4,2,4,4,4,4,5,2,5,1,5,1,4,2,4,1,2,2,4,2,5,1,5,4,5,2,4,1,4,1,4,1,2,1,4,1,4,1,5,5,5,4,5,5,5,5,5,4,4,5,4,3,5,2,4,2,4,1,4,1,3,2,2,2,4,2,1,2,1,1,2,2,2,1,1,2,2,4,2,2,2,2,2,94381.6,97126.2,13027.6,0,3,1,-1,0,-1,1,-1,-1,-1,1,-1,0,-2,0,-6,-1,-2,-1,0,1,0,-3,-1,0,2,-1,0,1,1,-2,4,0,3,1,1,0,1,1,1,1,1,1,1,0,2,0,6,1,2,1,0,1,0,3,1,0,2,1,0,1,1,2,4,0
mNVQ9jp5v4O,2Mdr5w6L,05/01/2025 21:42,05/01/2025 21:59,1028,1,27.27.241.67,112.762746,32.103803,湖北省,襄阳市,COMPUTER,Windows,Chrome,1536px*864px,1,0,0,0,0,2,2,4,3,1,3,4,4,5,4,4,1,3,4,4,3,5,2,5,2,3,2,3,1,4,2,5,3,5,3,1,2,2,2,5,1,3,2,3,2,2,1,4,2,3,1,2,2,1,2,2,3,2,2,5,4,4,5,5,4,5,4,4,5,4,5,3,2,3,1,4,2,3,2,3,1,2,2,3,1,4,2,2,1,1,2,1,3,2,3,2,1,2,1,2,2,1,2,2,45687.6,95696.9,29286.5,2,0,3,-3,0,0,4,2,4,-5,0,0,6,-1,4,1,-1,0,-3,2,2,1,-1,0,-3,5,0,-1,-4,2,-1,1,2,0,3,3,0,0,4,2,4,5,0,0,6,1,4,1,1,0,3,2,2,1,1,0,3,5,0,1,4,2,1,1,0
lAGj66k1oBJ,27akzRwe,05/01/2025 21:37,05/01/2025 21:50,759,1,39.144.98.197,112.951303,35.599447,山西省,晋城市,COMPUTER,Windows,Chrome,804px*360px,1,0,0,0,0,2,2,4,2,1,3,4,4,5,4,4,1,3,5,4,1,5,2,5,3,4,4,2,1,3,1,4,2,5,2,4,1,1,2,5,4,3,1,1,1,3,2,2,1,2,2,1,2,3,1,2,4,3,3,4,5,4,4,4,4,5,3,5,4,4,5,4,1,2,2,3,1,3,2,2,1,1,2,3,2,4,1,3,1,2,1,2,3,1,3,2,2,2,4,2,1,2,2,2,104655.3,84744,35970.8,1,1,5,-1,1,0,3,2,5,-5,3,1,5,0,4,0,1,-1,-3,1,-2,0,-1,2,-3,5,-1,-1,-6,0,-2,4,1,1,5,1,1,0,3,2,5,5,3,1,5,0,4,0,1,1,3,1,2,0,1,2,3,5,1,1,6,0,2,4,0
Xy4vX4dq8bG,BMDZ8dGL,05/01/2025 21:40,05/01/2025 21:49,524,1,112.10.128.62,120.346308,30.317823,浙江省,杭州市,COMPUTER,Windows,Chrome,1536px*960px,1,0,0,0,0,2,2,2,2,1,3,2,2,1,2,3,4,4,2,4,2,5,2,3,4,2,4,2,1,3,2,4,3,4,2,5,2,1,2,3,3,4,2,1,1,2,2,4,3,2,2,3,2,1,2,3,4,2,3,5,4,4,4,4,3,4,5,4,4,5,4,2,2,1,1,3,3,4,2,2,4,1,2,2,2,3,2,3,2,3,2,2,1,3,2,2,2,2,4,1,2,2,2,2,28340.5,28158.4,29345.1,2,0,2,0,2,0,2,2,0,-1,1,-3,5,0,0,-1,-2,0,-1,0,-3,-2,-2,1,0,1,0,3,-6,-2,0,4,2,0,2,0,2,0,2,2,0,1,1,3,5,0,0,1,2,0,1,0,3,2,2,1,0,1,0,3,6,2,0,4,0
vwk15VxXZJN,8MZZDk1M,05/01/2025 21:34,05/01/2025 21:49,872,1,223.91.18.129,114.6512443,33.6219169,河南省,周口市,COMPUTER,Windows,Chrome,1920px*1080px,1,0,0,0,0,2,2,4,4,1,3,4,4,4,2,4,1,3,4,4,2,4,2,5,4,4,5,4,1,4,1,4,2,4,2,4,1,2,2,4,2,4,2,4,1,4,1,5,1,4,1,4,1,2,1,4,1,4,1,5,5,5,4,4,5,5,5,5,4,4,4,4,1,4,2,4,1,5,1,4,2,3,2,4,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,62103.6,93421,31445,0,0,-1,-2,0,-1,0,-2,0,-4,-2,-1,2,-2,1,-7,0,-1,1,2,1,-1,-1,0,0,3,2,1,-1,0,-2,5,0,0,1,2,0,1,0,2,0,4,2,1,2,2,1,7,0,1,1,2,1,1,1,0,0,3,2,1,1,0,2,5,0
oGm5oo33JzW,xLV4NXZM,05/01/2025 21:27,05/01/2025 21:43,927,1,223.89.7.74,113.8284284,34.0092877,河南省,许昌市,COMPUTER,Windows,WeChat,1366px*768px,1,0,0,0,0,2,2,4,3,1,2,4,4,4,4,5,1,3,4,5,2,4,1,5,4,3,2,3,2,2,1,5,3,4,2,5,2,1,1,4,2,2,2,3,2,2,1,4,3,3,1,3,1,1,2,3,1,4,1,4,5,5,3,3,5,4,4,5,4,5,4,4,1,4,2,5,2,4,1,4,1,3,2,4,1,4,1,2,1,2,1,1,1,2,2,3,2,2,4,2,1,2,2,2,72427.7,46766.5,26997.9,0,0,2,-1,2,0,-1,-2,3,-5,1,1,5,0,1,-4,3,0,0,2,1,0,2,2,0,5,1,0,-2,0,0,4,0,0,2,1,2,0,1,2,3,5,1,1,5,0,1,4,3,0,0,2,1,0,2,2,0,5,1,0,2,0,0,4,0
lAGjE4gxXJ9,G7XxVK87,05/01/2025 21:31,05/01/2025 21:42,657,1,112.99.64.37,130.3763491,46.8091125,黑龙江省,佳木斯市,COMPUTER,Windows,WeChat,1536px*864px,1,0,0,0,0,2,1,4,2,1,3,2,1,3,1,4,1,4,4,5,3,4,1,5,2,4,4,4,2,5,1,4,3,4,2,3,1,2,1,4,2,5,3,2,1,3,1,4,2,3,2,4,1,2,1,3,2,3,2,5,4,5,5,5,3,5,4,5,4,4,5,3,1,3,1,4,2,3,2,3,2,2,2,3,2,4,3,2,1,1,1,1,3,2,4,3,1,1,2,1,2,1,2,2,53878.7,65335.8,27354.3,4,-1,1,-1,-1,0,3,-1,0,0,1,1,3,-2,3,-2,-3,1,-1,1,0,-2,-2,0,1,0,-1,-1,-4,0,-2,1,4,1,1,1,1,0,3,1,0,0,1,1,3,2,3,2,3,1,1,1,0,2,2,0,1,0,1,1,4,0,2,1,0
Q1kRwJwD4RW,AM99AAnM,05/01/2025 21:25,05/01/2025 21:36,631,1,211.141.218.162,118.373637,31.329081,安徽省,芜湖市,COMPUTER,Windows,Chrome,1440px*960px,1,0,0,0,0,2,2,4,2,1,2,2,1,1,1,5,3,4,3,5,2,5,3,2,1,2,2,4,1,4,1,3,4,5,3,2,1,1,3,3,4,4,3,3,2,4,1,5,3,2,2,3,1,1,1,2,2,4,3,5,4,5,5,5,5,5,4,4,4,5,4,3,1,3,2,3,3,3,2,2,1,1,1,1,2,2,2,2,2,2,2,2,4,3,3,4,2,2,3,2,2,1,2,2,32897.1,31453.2,29073.2,1,1,1,-2,-1,-2,1,-2,-4,1,2,-1,6,-3,-2,2,-2,-1,-2,2,0,2,-4,3,3,-1,-3,1,-7,3,-1,-1,1,1,1,2,1,2,1,2,4,1,2,1,6,3,2,2,2,1,2,2,0,2,4,3,3,1,3,1,7,3,1,1,0
Xy4w2pjy8KB,5LmK5O4M,06/01/2025 08:08,06/01/2025 08:21,767,1,116.253.234.3,109.2271847,23.727183,广西壮族自治区,来宾市,COMPUTER,Windows,Chrome,1600px*900px,0,0,0,0,0,2,2,4,2,1,3,2,2,2,2,5,3,4,4,5,2,4,1,4,3,4,4,3,2,5,2,4,1,4,2,5,4,4,3,5,2,4,3,2,2,2,2,4,3,4,3,5,4,4,4,4,4,5,3,4,5,4,4,4,5,4,4,4,5,5,4,3,2,2,1,4,3,4,4,4,4,5,4,4,2,4,3,2,1,2,2,2,3,3,3,2,2,2,2,2,2,1,15,2,108292.9,6766.2,34033.1,4,0,0,3,0,1,0,2,0,0,1,1,0,5,-1,0,-3,1,0,-4,0,-1,-1,0,1,1,-1,-2,0,-5,0,2,4,0,0,3,0,1,0,2,0,0,1,1,0,5,1,0,3,1,0,4,0,1,1,0,1,1,1,2,0,5,0,2,1
Q1kZrogWvmB,nePpQEYe,06/01/2025 01:24,06/01/2025 01:36,714,1,120.236.174.241,113.391022,23.058951,广东省,广州市,COMPUTER,Windows,Chrome,1440px*960px,0,0,0,0,0,2,2,4,2,1,3,4,3,4,3,5,2,4,5,3,2,4,1,5,2,5,4,2,2,3,1,4,3,4,3,4,4,4,3,4,4,4,4,2,2,2,2,4,4,3,4,3,4,4,4,4,4,4,4,3,2,2,2,3,3,4,3,4,3,3,4,4,3,4,4,3,4,3,4,3,4,4,4,4,3,3,4,4,4,4,4,4,4,3,3,2,4,4,3,4,4,4,15,2,36635.9,35952.8,38703.6,1,1,1,2,1,1,0,0,4,-2,2,5,0,5,2,2,3,-4,-2,-2,-1,-1,-1,1,0,-1,-3,-5,0,-5,-3,-1,1,1,1,2,1,1,0,0,4,2,2,5,0,5,2,2,3,4,2,2,1,1,1,1,0,1,3,5,0,5,3,1,1
WQ2Zl8pRAkJ,5LwGpwqL,05/01/2025 23:57,06/01/2025 00:13,1013,1,113.122.240.192,118.3363903,35.0525874,山东省,临沂市,COMPUTER,Windows,Chrome,1536px*864px,0,0,0,0,0,2,2,4,2,1,3,4,4,4,3,5,2,5,5,4,2,4,2,5,3,4,4,2,2,3,2,4,2,5,2,5,3,4,2,4,4,5,3,2,2,3,2,4,4,4,3,5,3,4,2,5,4,4,4,4,4,4,4,4,3,4,4,4,3,4,4,5,2,4,2,5,2,4,2,5,3,5,3,4,2,5,2,2,1,2,2,2,2,2,2,1,2,2,2,3,2,2,15,2,120714.7,96939,33694,0,0,1,3,0,0,0,1,3,-3,2,4,-1,1,0,1,4,0,0,0,1,-1,0,3,1,3,-1,-1,2,-2,0,3,0,0,1,3,0,0,0,1,3,3,2,4,1,1,0,1,4,0,0,0,1,1,0,3,1,3,1,1,2,2,0,3,1
Q1kZNYaQKVb,QL0RrnmM,05/01/2025 23:23,05/01/2025 23:39,927,1,113.220.118.161,111.4821232,27.2336382,湖南省,邵阳市,COMPUTER,Windows,Chrome,2560px*1440px,0,0,0,0,0,2,1,5,3,1,3,4,3,4,3,3,2,3,3,4,2,4,1,3,2,3,2,4,3,4,1,4,2,3,2,5,3,3,2,4,3,4,3,3,2,3,2,4,3,4,3,4,2,3,3,4,3,4,3,3,3,4,3,3,2,3,3,2,2,3,3,4,1,3,2,5,3,4,3,5,4,4,3,4,2,4,3,2,2,1,2,2,3,4,3,1,2,2,2,3,2,2,15,2,102575,75415.2,33068.8,2,0,-1,2,1,0,0,0,2,-2,-2,1,1,2,-2,2,-1,1,2,-2,1,-2,0,1,-1,3,3,-1,1,-4,2,-1,2,0,1,2,1,0,0,0,2,2,2,1,1,2,2,2,1,1,2,2,1,2,0,1,1,3,3,1,1,4,2,1,1
lAGkAqoYwzg,QL0zDYDM,05/01/2025 23:05,05/01/2025 23:15,645,1,183.196.181.68,119.5919001,39.9412726,河北省,秦皇岛市,COMPUTER,Windows,Chrome,1920px*1080px,0,0,0,0,0,2,2,5,3,1,3,4,4,4,4,4,1,3,3,4,3,4,2,5,3,3,2,4,2,5,1,4,1,4,2,5,2,3,2,4,3,4,2,4,3,4,3,4,2,3,2,4,1,4,2,5,3,4,3,4,4,5,3,4,4,3,4,5,3,4,4,4,3,3,2,4,1,4,1,3,3,4,3,4,2,5,2,2,2,1,2,2,3,2,3,2,2,2,3,2,2,2,15,2,23583.1,21913.6,25531,1,3,1,1,0,-1,-1,1,0,-2,0,0,0,-2,-1,1,-2,-2,0,1,-1,-2,1,1,-1,3,1,2,-1,-1,1,1,1,3,1,1,0,1,1,1,0,2,0,0,0,2,1,1,2,2,0,1,1,2,1,1,1,3,1,2,1,1,1,1,1
vwkRP41wlgb,27aDdjEM,05/01/2025 22:59,05/01/2025 23:10,683,1,119.191.242.109,122.0854211,37.5216531,山东省,威海市,COMPUTER,Windows,Chrome,1536px*864px,0,0,0,0,0,2,1,5,3,1,3,5,4,4,5,4,1,5,4,4,2,5,1,5,2,2,2,5,3,4,2,5,4,5,3,5,1,2,1,4,4,4,3,2,1,4,1,5,4,4,3,5,2,1,3,5,4,4,4,4,5,4,4,4,5,5,5,5,5,4,5,4,3,4,4,5,4,5,4,4,1,3,2,4,2,2,2,1,2,2,2,2,2,4,2,1,2,2,2,1,2,2,15,2,35439.2,39924.9,34437.4,3,-3,1,0,1,3,-1,1,3,-7,0,4,3,2,-2,4,-1,-2,0,-1,0,-1,-2,3,-1,2,1,-5,-2,0,-1,0,3,3,1,0,1,3,1,1,3,7,0,4,3,2,2,4,1,2,0,1,0,1,2,3,1,2,1,5,2,0,1,0,1
WQ2Z3BGPAG0,BMDojNDe,05/01/2025 22:46,05/01/2025 23:00,833,1,183.185.24.219,112.5463272,37.8699291,山西省,太原市,COMPUTER,Windows,Chrome,1536px*864px,0,0,0,0,0,2,1,4,4,1,3,2,1,1,2,4,4,3,2,2,2,4,1,4,4,5,5,2,1,4,2,5,2,4,4,5,2,4,3,5,5,4,4,1,1,2,1,4,4,5,4,5,3,4,4,5,4,4,4,2,2,1,2,2,2,2,2,1,2,2,2,2,2,1,2,4,5,4,4,5,4,4,5,5,4,4,4,2,2,1,2,2,5,4,4,4,1,1,1,2,2,1,15,2,33395,5355.1,26299,3,-1,0,2,0,2,0,-1,0,-1,-2,0,-3,4,0,-1,-3,-1,-1,-3,0,-4,0,1,0,-1,1,-1,3,-6,0,1,3,1,0,2,0,2,0,1,0,1,2,0,3,4,0,1,3,1,1,3,0,4,0,1,0,1,1,1,3,6,0,1,1
vwkRbrYG0EA,kM1j22y7,05/01/2025 22:46,05/01/2025 22:56,622,1,183.247.8.209,120.390098,30.317833,浙江省,杭州市,COMPUTER,Windows,Chrome,1440px*960px,0,0,0,0,0,2,1,4,2,1,3,4,3,4,3,4,2,4,5,5,3,3,2,5,3,4,2,5,1,3,2,4,1,4,2,3,2,1,2,3,4,4,2,2,2,2,2,4,3,4,3,4,1,1,2,3,4,4,3,4,4,4,3,4,2,5,3,3,3,4,4,4,3,3,2,4,2,4,4,4,3,3,3,4,2,4,3,2,2,2,2,2,3,2,3,2,2,2,2,2,2,2,15,2,54345.7,72920.6,31739,4,1,0,3,-1,-1,0,1,4,-2,0,3,3,-2,2,2,-1,-2,0,-3,3,-2,1,1,-1,1,0,-3,-1,-1,-1,0,4,1,0,3,1,1,0,1,4,2,0,3,3,2,2,2,1,2,0,3,3,2,1,1,1,1,0,3,1,1,1,0,1
